title,main_goal_and_aims,Questions,Purpose,Approaches,Findings,Categories,DataTier,Team,combined_text
asthma,I am formulating a research question based on asthma health disparities Iplan to so research and find ways to answer the question i am trying to formulate,"Scientific Questions Being Studied
I am formulating a research question based on asthma health disparities Iplan to so research and find ways to answer the question i am trying to formulate","Project Purpose(s)
Disease Focused Research (asthma)","Scientific Approaches
the specific approches i plan to use for my study is how asthma is treated among colored or how common is asthma.is within blacks than others","Anticipated Findings
i antisipate to find that colored get treated with lover doses to solve the issue than others","Demographic Categories of Interest
Race / Ethnicity","Data Set Used
Registered Tier","Research Team
Owner:
Mkiah Evans
- Undergraduate Student, Prairie View A&M University",asthma I am formulating a research question based on asthma health disparities Iplan to so research and find ways to answer the question i am trying to formulate
Duplicate of Demo - Polygenic_Risk_Score_Genetic_Ancestry_Calibration,"Polygenic risk scores (PRS) are available for a wide array of traits and conditions, offering many potential applications. There is a serious concern that clinical use of PRS could contribute to health disparities due to the poorer performance of PRS…","Scientific Questions Being Studied
Polygenic risk scores (PRS) are available for a wide array of traits and conditions, offering many potential applications. There is a serious concern that clinical use of PRS could contribute to health disparities due to the poorer performance of PRS in non-European ancestry individuals. We aim to improve our ability to correct the genetic ancestry-dependent bias in PRS for 10 conditions (Asthma, Atrial fibrillation, Breast Cancer, Chronic Kidney Disease, Coronary heart disease, Hypercholesterolemia, Obesity/BMI, Prostate cancer, Type 1 Diabetes, Type 2 Diabetes). We will use the AoU dataset to produce a resource that can be used to reduce the ancestry-dependent bias in these 10 PRS.  The citation for this work is:
Lennon, N.J., Kottyan, L.C., Kachulis, C. et al. Selection, optimization and validation of ten chronic disease polygenic risk scores for clinical implementation in diverse US populations. Nat Med 30, 480–487 (2024). https://doi.org/10.1038/s41591-024-02796-z","Project Purpose(s)
Control Set","Scientific Approaches
Arrays will be imputed using the phasing and imputation tools Eagle2 and Minimac4.  Polygenic risk score will then be calculated using the population genomics tool PLINK.  A simple linear model will then be fit to the scores, which attempt to describe the macroscopic relationship between genetic ancestry and observed polygenic scores.  The fitted parameters of this model can then be used to reduce genetic ancestry-dependent bias when calculating these scores in a clinical setting.","Anticipated Findings
We will produce a set of fitted parameters for a simple model which attempts to describe the macroscopic relationship between genetic ancestry and observed polygenic scores.  The fitted parameters of this model can then be used as a resource to reduce genetic ancestry-dependent bias when calculating these scores in a clinical setting.","Demographic Categories of Interest
Race / Ethnicity","Data Set Used
Controlled Tier","Research Team
Owner:
Junjie Lu
- Graduate Trainee, Stanford University","Duplicate of Demo - Polygenic_Risk_Score_Genetic_Ancestry_Calibration Polygenic risk scores (PRS) are available for a wide array of traits and conditions, offering many potential applications. There is a serious concern that clinical use of PRS could contribute to health disparities due to the poorer performance of PRS…"
Asthma Prevalence original broken,"The purpose of this project is to advance state-level estimation of asthma burden by accelerating use of electronic health record (EHR) data as a tool for public health practice, which could provide faster, actionable insights for decision makers.","Scientific Questions Being Studied
The purpose of this project is to advance state-level estimation of asthma burden by accelerating use of electronic health record (EHR) data as a tool for public health practice, which could provide faster, actionable insights for decision makers.","Project Purpose(s)
Disease Focused Research (Asthma)","Scientific Approaches
A raking weighting methodology will be used to produce state-level estimates of asthma prevalence using one EHR data set, and will compare EHR-derived, state-level asthma prevalence estimates with those from traditional survey methods (e.g. derived from CDC’s survey-based Behavior Risk Factor Surveillance System (BRFSS)).","Anticipated Findings
Results of this study can help:
1) develop and refine estimates of asthma burden beyond prevalence (e.g., state-level estimates of asthma control using pharmacy dispensing data on asthma long-term controller medication and rescue medication; and/or state-level estimates of asthma-related emergency department visits or hospitalizations),
2) leverage EHRs to estimate asthma burden with greater geographic specificity than at the state level, and/or
3) assess the feasibility of incorporating EHR-derived asthma burden estimates into public health practice by state health departments.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Registered Tier","Research Team
Owner:
Samantha Stewart Bell
- Project Personnel, All of Us Program Operational Use
Natalie Fitch
- Project Personnel, Georgia Institute of Technology","Asthma Prevalence original broken The purpose of this project is to advance state-level estimation of asthma burden by accelerating use of electronic health record (EHR) data as a tool for public health practice, which could provide faster, actionable insights for decision makers."
university-research-asthma,"Asthma is a chronic respiratory disease affecting millions of individuals worldwide, with significant morbidity, mortality, and economic burden. Understanding the genetic basis of asthma is crucial for advancing our knowledge of its pathogenesis and developing more effective prevention and treatment…","Scientific Questions Being Studied
Asthma is a chronic respiratory disease affecting millions of individuals worldwide, with significant morbidity, mortality, and economic burden. Understanding the genetic basis of asthma is crucial for advancing our knowledge of its pathogenesis and developing more effective prevention and treatment strategies.
Beyond its direct respiratory effects, asthma is associated with a range of comorbidities, including internalizing disorders such as anxiety and depression.
The burden of asthma extends beyond individual suffering to encompass significant societal and economic impacts.
Investigating genetic variants associated with asthma susceptibility and severity can pave the way for personalized medicine approaches. By identifying individuals at higher genetic risk, healthcare providers can tailor interventions and treatments to better manage asthma symptoms and prevent exacerbations.","Project Purpose(s)
Disease Focused Research (asthma)","Scientific Approaches
Use GWAS databases such as NHGRI-EBI catalog and GWAS central to find genes that are linked to asthma susceptibility or related phenotypes. Based on previous research on this subject for a previous assignment, further discussions will be limited to SMAD3, GSDMB, IL4, and IL3 genes.
Analyze genomic sequencing data and perform variant calling using libraries like GATK. Filter the variants for SMAD3, GSDMB, IL4, and IL3 genes using BED tools.
Identify genetic variants that have been previously associated with asthma susceptibility in GWAS datasets.
Cross-reference identified asthma-associated variants with gene-disease association data from DisGeNET.
Explore the strength of evidence supporting the association between the variants and asthma in DisGeNET, considering factors such as the number of supporting studies and their experimental designs.
Determine a significance threshold for the variants based on statistical significance.","Anticipated Findings
The expected outcome of the project is the identification of specific genetic variants within the SMAD3, GSDMB, IL4, and IL13 genes that are associated with asthma susceptibility and severity. Identify how these variants affect gene expression and protein functions implicated in asthma pathophysiology. Understanding the functional consequences of these genetic variants will provide valuable insights into the molecular mechanisms underlying asthma development and progression. Analyze the clinical data from asthma patients with known genotypes and determine whether specific genetic profiles are associated with distinct clinical phenotypes and disease severity.
As a stretch goal, identify the role of environmental factors in disease susceptibility and severity for the individuals with the asthma causing genotype.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Controlled Tier","Research Team
Owner:
Arun Purushothaman
- Graduate Trainee, University of Texas Health Science Center, Houston","university-research-asthma Asthma is a chronic respiratory disease affecting millions of individuals worldwide, with significant morbidity, mortality, and economic burden. Understanding the genetic basis of asthma is crucial for advancing our knowledge of its pathogenesis and developing more effective prevention and treatment…"
Duplicate of Demo - Polygenic_Risk_Score_Genetic_Ancestry_Calibration,"Polygenic risk scores (PRS) are available for a wide array of traits and conditions, offering many potential applications including preventative medicine. There is, however, a serious concern that clinical use of PRS could contribute to health disparities due to the…","Scientific Questions Being Studied
Polygenic risk scores (PRS) are available for a wide array of traits and conditions, offering many potential applications including preventative medicine.  There is, however, a serious concern that clinical use of PRS could contribute to health disparities due to the poorer performance of PRS in non-European ancestry individuals.
We aim to improve our ability to correct the genetic ancestry-dependent bias in PRS for 10 conditions (Asthma, Atrial fibrillation, Breast Cancer, Chronic Kidney Disease, Coronary heart disease, Hypercholesterolemia, Obesity/BMI, Prostate cancer, Type 1 Diabetes, Type 2 Diabetes).  We will use the AoU dataset to produce a resource that can be used to reduce the ancestry-dependent bias in these 10 PRS.  This resource will initially be used by the eMERGE IV consortium, which is an NIH-funded consortium of clinical centers across the United States, with an aim to enroll a prospective cohort of 25,000 individuals.","Project Purpose(s)
Control Set","Scientific Approaches
Arrays will be imputed using the phasing and imputation tools Eagle2 and Minimac4.  Polygenic risk score will then be calculated using the population genomics tool PLINK.  A simple linear model will then be fit to the scores, which attempt to describe the macroscopic relationship between genetic ancestry and observed polygenic scores.  The fitted parameters of this model can then be used to reduce genetic ancestry-dependent bias when calculating these scores in a clinical setting.","Anticipated Findings
We will produce a set of fitted parameters for a simple model which attempts to describe the macroscopic relationship between genetic ancestry and observed polygenic scores.  The fitted parameters of this model can then be used as a resource to reduce genetic ancestry-dependent bias when calculating these scores in a clinical setting.","Demographic Categories of Interest
Race / Ethnicity","Data Set Used
Controlled Tier","Research Team
Owner:
Omar Costilla Reyes
- Research Fellow, Massachusetts Institute of Technology","Duplicate of Demo - Polygenic_Risk_Score_Genetic_Ancestry_Calibration Polygenic risk scores (PRS) are available for a wide array of traits and conditions, offering many potential applications including preventative medicine. There is, however, a serious concern that clinical use of PRS could contribute to health disparities due to the…"
Duplicate of Demo - Polygenic_Risk_Score_Genetic_Ancestry_Calibration,"[Educational copy of the notebook to inspect code and see if it is able to be replicated.] It will make polygenic risk scores, PRS, for 10 conditions Asthma, Atrial fibrillation, Breast Cancer, Chronic Kidney Disease, Coronary heart disease, Hypercholesterolemia, Obesity/BMI,…","Scientific Questions Being Studied
[Educational copy of the notebook to inspect code and see if it is able to be replicated.]
It will make polygenic risk scores, PRS, for 10 conditions Asthma, Atrial fibrillation, Breast Cancer, Chronic Kidney Disease, Coronary heart disease, Hypercholesterolemia, Obesity/BMI, Prostate cancer, Type 1 Diabetes, Type 2 Diabetes.","Project Purpose(s)
Educational
Other Purpose ([Educational copy of the notebook to inspect code and see if it is able to be replicated.])","Scientific Approaches
[Educational copy of the notebook to inspect code and see if it is able to be replicated.]
Original response is below:
Arrays will be imputed using the phasing and imputation tools Eagle2 and Minimac4.  Polygenic risk score will then be calculated using the population genomics tool PLINK.  A simple linear model will then be fit to the scores, which attempt to describe the macroscopic relationship between genetic ancestry and observed polygenic scores.  The fitted parameters of this model can then be used to reduce genetic ancestry-dependent bias when calculating these scores in a clinical setting.","Anticipated Findings
No findings are anticipated since the goal is to simply explore the codebase of this notebook to better understand it.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Controlled Tier","Research Team
Owner:
Scott Sauers
- Project Personnel, Washington University in St. Louis","Duplicate of Demo - Polygenic_Risk_Score_Genetic_Ancestry_Calibration [Educational copy of the notebook to inspect code and see if it is able to be replicated.] It will make polygenic risk scores, PRS, for 10 conditions Asthma, Atrial fibrillation, Breast Cancer, Chronic Kidney Disease, Coronary heart disease, Hypercholesterolemia, Obesity/BMI,…"
WSP-SNPs_Asthma,"Toxic airborne exposures contribute to asthma development, but the mechanisms that connect exposure with asthma biology and the individual risk factors that contribute to this effect are not understood. We have approached this problem by identifying genetic variants that associate…","Scientific Questions Being Studied
Toxic airborne exposures contribute to asthma development, but the mechanisms that connect exposure with asthma biology and the individual risk factors that contribute to this effect are not understood. We have approached this problem by identifying genetic variants that associate with asthma risk and change transcriptional responses to a model of wildfire particulate matter in cell culture. This proposal to the All of Us research database is to validate 52 single nucleotide polymorphisms that we have characterized in this study in an independent and diverse cohort to support the validity of our results.","Project Purpose(s)
Disease Focused Research (asthma)
Ancestry","Scientific Approaches
We will perform genotype-phenotype association to compare the effect of 52 variants on asthma phenotype in a case-control analysis. We will compare the minor allele frequencies for these 52 variants in cases and controls using a one degree of freedom chi squared test and adjust for multiple comparisons using the Bonferroni correction. We will then add the important biologic covariates of age, body mass index and smoking history into the association using a logistic regression model.","Anticipated Findings
These results will validate our initial findings of these 52 common variants that develop a mechanistic connection between wildfire particulate exposure and asthma risk. This finding is critical to understanding which individuals are at highest risk of the growing impact of wildfire smoke and developing treatments targeted at the gene mechanisms to interrupt asthma development.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Controlled Tier","Research Team
Owner:
Arnav Gupta
- Early Career Tenure-track Researcher, National Jewish Health","WSP-SNPs_Asthma Toxic airborne exposures contribute to asthma development, but the mechanisms that connect exposure with asthma biology and the individual risk factors that contribute to this effect are not understood. We have approached this problem by identifying genetic variants that associate…"
MS GWAS,"Research Question: Are leukotriene receptor antagonists, such as montelukast, potential repurposable drug candidates for multiple sclerosis? Significance: Despite recent advancements in MS therapeutics, it remains that several patients still experience treatment-resistant MS. Previously, we pinpointed a repurposable drug candidate for…","Scientific Questions Being Studied
Research Question: Are leukotriene receptor antagonists, such as montelukast, potential repurposable drug candidates for multiple sclerosis?
Significance: Despite recent advancements in MS therapeutics, it remains that several patients still experience treatment-resistant MS. Previously, we pinpointed a repurposable drug candidate for MS via bioinformatics analyses of genomic data, a leukotriene receptor antagonist currently indicated for allergic rhinitis or asthma.* Therefore, montelukast, a widely used leukotriene receptor antagonist, may be provide a new approach for managing MS symptoms.
* Manuel AM, Dai Y, Freeman LA, Jia P, Zhao Z. (2021) An integrative study of genetic variants with brain tissue expression identifies viral etiology and potential drug targets of multiple sclerosis. Molecular and Cellular Neuroscience. 115:103656.","Project Purpose(s)
Disease Focused Research (multiple sclerosis)
Drug Development","Scientific Approaches
Datasets: Cohorts of MS patients will be identified: (1) Cases: MS patients on montelukast, (2) Controls: MS patients NOT on montelukast. Data will be collected for 2 year period.
Methods: We will apply the doubly robust causal inference methods for estimation of outcomes, which will take into consideration several confounding factors (comorbidities, indication of medication: allergic rhinits/asthma, age at baseline, diagnosis time). The outcomes will be measured based on number of relapses during study period, which will be determined based on corticosteroid prescriptions and inpatient hospitalizations.
Tools: Python programming language","Anticipated Findings
The anticipated findings will be that MS patients on montelukast (a widely used leukotriene receptor antagonist) will have better outcomes.
The anticipated findings would provide a new treatment option for individuals suffering from MS. This would promote further research and clinical trials for the validation of using montelukast a potential treatment.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Controlled Tier","Research Team
Owner:
Astrid Manuel
- Graduate Trainee, University of Texas Health Science Center, Houston","MS GWAS Research Question: Are leukotriene receptor antagonists, such as montelukast, potential repurposable drug candidates for multiple sclerosis? Significance: Despite recent advancements in MS therapeutics, it remains that several patients still experience treatment-resistant MS. Previously, we pinpointed a repurposable drug candidate for…"
"Duplicate of Vaping, Smoking and Asthma_EY","Vaping involves inhaling aerosolized liquid, often containing nicotine and other chemicals. While it is often considered less harmful than traditional smoking, it is not without risks. For individuals with asthma, inhaling any kind of substance into the lungs can potentially…","Scientific Questions Being Studied
Vaping involves inhaling aerosolized liquid, often containing nicotine and other chemicals.
While it is often considered less harmful than traditional smoking, it is not without risks.
For individuals with asthma, inhaling any kind of substance into the lungs can potentially trigger asthma symptoms or exacerbate existing ones.
Interested to examine the association of Asthma with vaping and/or smoking","Project Purpose(s)
Disease Focused Research (asthma)
Population Health
Social / Behavioral","Scientific Approaches
Examine the association of Asthma with smoking and vaping.
Does vaping is associated with acute Asthma and how does interact with the presence of smoking.
Use both cohort and Case-control study designs to answer the above questions","Anticipated Findings
Expect that Asthma is associated with vaping
Anticipate that long-term use of e-cigarettes increases the risk of Asthma.
The risk of Asthma will be even stronger in people who smoked both e-cigarettes and regular cigarettes.","Demographic Categories of Interest
Race / Ethnicity
Age
Education Level
Income Level","Data Set Used
Registered Tier","Research Team
Owner:
Elsie Yi
- Graduate Trainee, University of California, Irvine
Argyrios Ziogas
- Late Career Tenured Researcher, University of California, Irvine
Collaborators:
Steven Hiek - Project Personnel, University of California, Irvine","Duplicate of Vaping, Smoking and Asthma_EY Vaping involves inhaling aerosolized liquid, often containing nicotine and other chemicals. While it is often considered less harmful than traditional smoking, it is not without risks. For individuals with asthma, inhaling any kind of substance into the lungs can potentially…"
UTK Asthma Project,"The rate of asthma and the other allergic phenomena of childhood differs across different sub-populations. The goal is to use the All of Us dataset, including electronic health records and social determinants of health, to identify some of the most…","Scientific Questions Being Studied
The rate of asthma and the other allergic phenomena of childhood differs across different sub-populations. The goal is to use the All of Us dataset, including electronic health records and social determinants of health, to identify some of the most important contributing factors to asthma and the other allergic phenomena of childhood (including allergic rhinitis, ‘allergy’, and wheezing) based on self-reported race.","Project Purpose(s)
Educational","Scientific Approaches
we use the classification algorithms to define asthma symptoms and use different metrics. And will use our results for the social good.","Anticipated Findings
we use the electronic health records and social determinants of health, to identify some of the most important contributing factors to asthma and the other allergic phenomena of childhood (including allergic rhinitis, ‘allergy’, and wheezing) based on self-reported race.","Demographic Categories of Interest
Race / Ethnicity
Age
Sex at Birth
Gender Identity
Sexual Orientation
Geography
Disability Status
Access to Care
Education Level
Income Level","Data Set Used
Registered Tier","Research Team
Owner:
Nahian Tahmin
- Graduate Trainee, University of Tennessee, Knoxville
Mostafa Atallah
- Graduate Trainee, University of Tennessee, Knoxville
Anahita Khojandi
- Mid-career Tenured Researcher, University of Tennessee, Knoxville
Dhiraj Pokhrel
- Graduate Trainee, University of Tennessee, Knoxville","UTK Asthma Project The rate of asthma and the other allergic phenomena of childhood differs across different sub-populations. The goal is to use the All of Us dataset, including electronic health records and social determinants of health, to identify some of the most…"
