title,main_goal_and_aims,Questions,Purpose,Approaches,Findings,Categories,DataTier,Team
asthma,I am formulating a research question based on asthma health disparities Iplan to so research and find ways to answer the question i am trying to formulate,"Scientific Questions Being Studied
I am formulating a research question based on asthma health disparities Iplan to so research and find ways to answer the question i am trying to formulate","Project Purpose(s)
Disease Focused Research (asthma)","Scientific Approaches
the specific approches i plan to use for my study is how asthma is treated among colored or how common is asthma.is within blacks than others","Anticipated Findings
i antisipate to find that colored get treated with lover doses to solve the issue than others","Demographic Categories of Interest
Race / Ethnicity","Data Set Used
Registered Tier","Research Team
Owner:
Mkiah Evans
- Undergraduate Student, Prairie View A&M University"
Duplicate of Demo - Polygenic_Risk_Score_Genetic_Ancestry_Calibration,"Polygenic risk scores (PRS) are available for a wide array of traits and conditions, offering many potential applications. There is a serious concern that clinical use of PRS could contribute to health disparities due to the poorer performance of PRS…","Scientific Questions Being Studied
Polygenic risk scores (PRS) are available for a wide array of traits and conditions, offering many potential applications. There is a serious concern that clinical use of PRS could contribute to health disparities due to the poorer performance of PRS in non-European ancestry individuals. We aim to improve our ability to correct the genetic ancestry-dependent bias in PRS for 10 conditions (Asthma, Atrial fibrillation, Breast Cancer, Chronic Kidney Disease, Coronary heart disease, Hypercholesterolemia, Obesity/BMI, Prostate cancer, Type 1 Diabetes, Type 2 Diabetes). We will use the AoU dataset to produce a resource that can be used to reduce the ancestry-dependent bias in these 10 PRS.  The citation for this work is:
Lennon, N.J., Kottyan, L.C., Kachulis, C. et al. Selection, optimization and validation of ten chronic disease polygenic risk scores for clinical implementation in diverse US populations. Nat Med 30, 480–487 (2024). https://doi.org/10.1038/s41591-024-02796-z","Project Purpose(s)
Control Set","Scientific Approaches
Arrays will be imputed using the phasing and imputation tools Eagle2 and Minimac4.  Polygenic risk score will then be calculated using the population genomics tool PLINK.  A simple linear model will then be fit to the scores, which attempt to describe the macroscopic relationship between genetic ancestry and observed polygenic scores.  The fitted parameters of this model can then be used to reduce genetic ancestry-dependent bias when calculating these scores in a clinical setting.","Anticipated Findings
We will produce a set of fitted parameters for a simple model which attempts to describe the macroscopic relationship between genetic ancestry and observed polygenic scores.  The fitted parameters of this model can then be used as a resource to reduce genetic ancestry-dependent bias when calculating these scores in a clinical setting.","Demographic Categories of Interest
Race / Ethnicity","Data Set Used
Controlled Tier","Research Team
Owner:
Junjie Lu
- Graduate Trainee, Stanford University"
Asthma Prevalence original broken,"The purpose of this project is to advance state-level estimation of asthma burden by accelerating use of electronic health record (EHR) data as a tool for public health practice, which could provide faster, actionable insights for decision makers.","Scientific Questions Being Studied
The purpose of this project is to advance state-level estimation of asthma burden by accelerating use of electronic health record (EHR) data as a tool for public health practice, which could provide faster, actionable insights for decision makers.","Project Purpose(s)
Disease Focused Research (Asthma)","Scientific Approaches
A raking weighting methodology will be used to produce state-level estimates of asthma prevalence using one EHR data set, and will compare EHR-derived, state-level asthma prevalence estimates with those from traditional survey methods (e.g. derived from CDC’s survey-based Behavior Risk Factor Surveillance System (BRFSS)).","Anticipated Findings
Results of this study can help:
1) develop and refine estimates of asthma burden beyond prevalence (e.g., state-level estimates of asthma control using pharmacy dispensing data on asthma long-term controller medication and rescue medication; and/or state-level estimates of asthma-related emergency department visits or hospitalizations),
2) leverage EHRs to estimate asthma burden with greater geographic specificity than at the state level, and/or
3) assess the feasibility of incorporating EHR-derived asthma burden estimates into public health practice by state health departments.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Registered Tier","Research Team
Owner:
Samantha Stewart Bell
- Project Personnel, All of Us Program Operational Use
Natalie Fitch
- Project Personnel, Georgia Institute of Technology"
university-research-asthma,"Asthma is a chronic respiratory disease affecting millions of individuals worldwide, with significant morbidity, mortality, and economic burden. Understanding the genetic basis of asthma is crucial for advancing our knowledge of its pathogenesis and developing more effective prevention and treatment…","Scientific Questions Being Studied
Asthma is a chronic respiratory disease affecting millions of individuals worldwide, with significant morbidity, mortality, and economic burden. Understanding the genetic basis of asthma is crucial for advancing our knowledge of its pathogenesis and developing more effective prevention and treatment strategies.
Beyond its direct respiratory effects, asthma is associated with a range of comorbidities, including internalizing disorders such as anxiety and depression.
The burden of asthma extends beyond individual suffering to encompass significant societal and economic impacts.
Investigating genetic variants associated with asthma susceptibility and severity can pave the way for personalized medicine approaches. By identifying individuals at higher genetic risk, healthcare providers can tailor interventions and treatments to better manage asthma symptoms and prevent exacerbations.","Project Purpose(s)
Disease Focused Research (asthma)","Scientific Approaches
Use GWAS databases such as NHGRI-EBI catalog and GWAS central to find genes that are linked to asthma susceptibility or related phenotypes. Based on previous research on this subject for a previous assignment, further discussions will be limited to SMAD3, GSDMB, IL4, and IL3 genes.
Analyze genomic sequencing data and perform variant calling using libraries like GATK. Filter the variants for SMAD3, GSDMB, IL4, and IL3 genes using BED tools.
Identify genetic variants that have been previously associated with asthma susceptibility in GWAS datasets.
Cross-reference identified asthma-associated variants with gene-disease association data from DisGeNET.
Explore the strength of evidence supporting the association between the variants and asthma in DisGeNET, considering factors such as the number of supporting studies and their experimental designs.
Determine a significance threshold for the variants based on statistical significance.","Anticipated Findings
The expected outcome of the project is the identification of specific genetic variants within the SMAD3, GSDMB, IL4, and IL13 genes that are associated with asthma susceptibility and severity. Identify how these variants affect gene expression and protein functions implicated in asthma pathophysiology. Understanding the functional consequences of these genetic variants will provide valuable insights into the molecular mechanisms underlying asthma development and progression. Analyze the clinical data from asthma patients with known genotypes and determine whether specific genetic profiles are associated with distinct clinical phenotypes and disease severity.
As a stretch goal, identify the role of environmental factors in disease susceptibility and severity for the individuals with the asthma causing genotype.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Controlled Tier","Research Team
Owner:
Arun Purushothaman
- Graduate Trainee, University of Texas Health Science Center, Houston"
ASTHMA PREVALENCE,"The purpose of this project is to advance state-level estimation of asthma burden by accelerating use of electronic health record (EHR) data as a tool for public health practice, which could provide faster, actionable insights for decision makers.","Scientific Questions Being Studied
The purpose of this project is to advance state-level estimation of asthma burden by accelerating use of electronic health record (EHR) data as a tool for public health practice, which could provide faster, actionable insights for decision makers.","Project Purpose(s)
Disease Focused Research (Asthma)","Scientific Approaches
A raking weighting methodology will be used to produce state-level estimates of asthma prevalence using one EHR data set, and will compare EHR-derived, state-level asthma prevalence estimates with those from traditional survey methods (e.g. derived from CDC’s survey-based Behavior Risk Factor Surveillance System (BRFSS)).","Anticipated Findings
Results of this study can help:
1) develop and refine estimates of asthma burden beyond prevalence (e.g., state-level estimates of asthma control using pharmacy dispensing data on asthma long-term controller medication and rescue medication; and/or state-level estimates of asthma-related emergency department visits or hospitalizations),
2) leverage EHRs to estimate asthma burden with greater geographic specificity than at the state level, and/or
3) assess the feasibility of incorporating EHR-derived asthma burden estimates into public health practice by state health departments.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Registered Tier","Research Team
Owner:
Samantha Stewart Bell
- Project Personnel, All of Us Program Operational Use
Natalie Fitch
- Project Personnel, Georgia Institute of Technology"
Asthma Prevalence duplicated original,"The purpose of this project is to advance state-level estimation of asthma burden by accelerating use of electronic health record (EHR) data as a tool for public health practice, which could provide faster, actionable insights for decision makers.","Scientific Questions Being Studied
The purpose of this project is to advance state-level estimation of asthma burden by accelerating use of electronic health record (EHR) data as a tool for public health practice, which could provide faster, actionable insights for decision makers.","Project Purpose(s)
Disease Focused Research (Asthma)","Scientific Approaches
A raking weighting methodology will be used to produce state-level estimates of asthma prevalence using one EHR data set, and will compare EHR-derived, state-level asthma prevalence estimates with those from traditional survey methods (e.g. derived from CDC’s survey-based Behavior Risk Factor Surveillance System (BRFSS)).","Anticipated Findings
Results of this study can help:
1) develop and refine estimates of asthma burden beyond prevalence (e.g., state-level estimates of asthma control using pharmacy dispensing data on asthma long-term controller medication and rescue medication; and/or state-level estimates of asthma-related emergency department visits or hospitalizations),
2) leverage EHRs to estimate asthma burden with greater geographic specificity than at the state level, and/or
3) assess the feasibility of incorporating EHR-derived asthma burden estimates into public health practice by state health departments.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Registered Tier","Research Team
Owner:
Natalie Fitch
- Project Personnel, Georgia Institute of Technology"
Duplicate of Demo - Polygenic_Risk_Score_Genetic_Ancestry_Calibration,"Polygenic risk scores (PRS) are available for a wide array of traits and conditions, offering many potential applications. There is a serious concern that clinical use of PRS could contribute to health disparities due to the poorer performance of PRS…","Scientific Questions Being Studied
Polygenic risk scores (PRS) are available for a wide array of traits and conditions, offering many potential applications. There is a serious concern that clinical use of PRS could contribute to health disparities due to the poorer performance of PRS in non-European ancestry individuals. We aim to improve our ability to correct the genetic ancestry-dependent bias in PRS for 10 conditions (Asthma, Atrial fibrillation, Breast Cancer, Chronic Kidney Disease, Coronary heart disease, Hypercholesterolemia, Obesity/BMI, Prostate cancer, Type 1 Diabetes, Type 2 Diabetes). We will use the AoU dataset to produce a resource that can be used to reduce the ancestry-dependent bias in these 10 PRS.  The citation for this work is:
Lennon, N.J., Kottyan, L.C., Kachulis, C. et al. Selection, optimization and validation of ten chronic disease polygenic risk scores for clinical implementation in diverse US populations. Nat Med 30, 480–487 (2024). https://doi.org/10.1038/s41591-024-02796-z","Project Purpose(s)
Control Set","Scientific Approaches
Arrays will be imputed using the phasing and imputation tools Eagle2 and Minimac4.  Polygenic risk score will then be calculated using the population genomics tool PLINK.  A simple linear model will then be fit to the scores, which attempt to describe the macroscopic relationship between genetic ancestry and observed polygenic scores.  The fitted parameters of this model can then be used to reduce genetic ancestry-dependent bias when calculating these scores in a clinical setting.","Anticipated Findings
We will produce a set of fitted parameters for a simple model which attempts to describe the macroscopic relationship between genetic ancestry and observed polygenic scores.  The fitted parameters of this model can then be used as a resource to reduce genetic ancestry-dependent bias when calculating these scores in a clinical setting.","Demographic Categories of Interest
Race / Ethnicity","Data Set Used
Controlled Tier","Research Team
Owner:
xuan zhou
- Research Fellow, University of Copenhagen"
Duplicate of Demo - Polygenic_Risk_Score_Genetic_Ancestry_Calibration,"Polygenic risk scores (PRS) are available for a wide array of traits and conditions, offering many potential applications including preventative medicine. There is, however, a serious concern that clinical use of PRS could contribute to health disparities due to the…","Scientific Questions Being Studied
Polygenic risk scores (PRS) are available for a wide array of traits and conditions, offering many potential applications including preventative medicine.  There is, however, a serious concern that clinical use of PRS could contribute to health disparities due to the poorer performance of PRS in non-European ancestry individuals.
We aim to improve our ability to correct the genetic ancestry-dependent bias in PRS for 10 conditions (Asthma, Atrial fibrillation, Breast Cancer, Chronic Kidney Disease, Coronary heart disease, Hypercholesterolemia, Obesity/BMI, Prostate cancer, Type 1 Diabetes, Type 2 Diabetes).  We will use the AoU dataset to produce a resource that can be used to reduce the ancestry-dependent bias in these 10 PRS.  This resource will initially be used by the eMERGE IV consortium, which is an NIH-funded consortium of clinical centers across the United States, with an aim to enroll a prospective cohort of 25,000 individuals.","Project Purpose(s)
Control Set","Scientific Approaches
Arrays will be imputed using the phasing and imputation tools Eagle2 and Minimac4.  Polygenic risk score will then be calculated using the population genomics tool PLINK.  A simple linear model will then be fit to the scores, which attempt to describe the macroscopic relationship between genetic ancestry and observed polygenic scores.  The fitted parameters of this model can then be used to reduce genetic ancestry-dependent bias when calculating these scores in a clinical setting.","Anticipated Findings
We will produce a set of fitted parameters for a simple model which attempts to describe the macroscopic relationship between genetic ancestry and observed polygenic scores.  The fitted parameters of this model can then be used as a resource to reduce genetic ancestry-dependent bias when calculating these scores in a clinical setting.","Demographic Categories of Interest
Race / Ethnicity","Data Set Used
Controlled Tier","Research Team
Owner:
Omar Costilla Reyes
- Research Fellow, Massachusetts Institute of Technology"
Duplicate of Demo - Polygenic_Risk_Score_Genetic_Ancestry_Calibration,"Polygenic risk scores (PRS) are available for a wide array of traits and conditions, offering many potential applications including preventative medicine. There is, however, a serious concern that clinical use of PRS could contribute to health disparities due to the…","Scientific Questions Being Studied
Polygenic risk scores (PRS) are available for a wide array of traits and conditions, offering many potential applications including preventative medicine.  There is, however, a serious concern that clinical use of PRS could contribute to health disparities due to the poorer performance of PRS in non-European ancestry individuals.
We aim to improve our ability to correct the genetic ancestry-dependent bias in PRS for 10 conditions (Asthma, Atrial fibrillation, Breast Cancer, Chronic Kidney Disease, Coronary heart disease, Hypercholesterolemia, Obesity/BMI, Prostate cancer, Type 1 Diabetes, Type 2 Diabetes).  We will use the AoU dataset to produce a resource that can be used to reduce the ancestry-dependent bias in these 10 PRS.  This resource will initially be used by the eMERGE IV consortium, which is an NIH-funded consortium of clinical centers across the United States, with an aim to enroll a prospective cohort of 25,000 individuals.","Project Purpose(s)
Control Set","Scientific Approaches
Arrays will be imputed using the phasing and imputation tools Eagle2 and Minimac4.  Polygenic risk score will then be calculated using the population genomics tool PLINK.  A simple linear model will then be fit to the scores, which attempt to describe the macroscopic relationship between genetic ancestry and observed polygenic scores.  The fitted parameters of this model can then be used to reduce genetic ancestry-dependent bias when calculating these scores in a clinical setting.","Anticipated Findings
We will produce a set of fitted parameters for a simple model which attempts to describe the macroscopic relationship between genetic ancestry and observed polygenic scores.  The fitted parameters of this model can then be used as a resource to reduce genetic ancestry-dependent bias when calculating these scores in a clinical setting.","Demographic Categories of Interest
Race / Ethnicity","Data Set Used
Controlled Tier","Research Team
Owner:
Kiana Tavakoli
- Research Fellow, University of California, San Diego"
Duplicate of Demo - Polygenic_Risk_Score_Genetic_Ancestry_Calibration,"Polygenic risk scores (PRS) are available for a wide array of traits and conditions, offering many potential applications including preventative medicine. There is, however, a serious concern that clinical use of PRS could contribute to health disparities due to the…","Scientific Questions Being Studied
Polygenic risk scores (PRS) are available for a wide array of traits and conditions, offering many potential applications including preventative medicine.  There is, however, a serious concern that clinical use of PRS could contribute to health disparities due to the poorer performance of PRS in non-European ancestry individuals.
We aim to improve our ability to correct the genetic ancestry-dependent bias in PRS for 10 conditions (Asthma, Atrial fibrillation, Breast Cancer, Chronic Kidney Disease, Coronary heart disease, Hypercholesterolemia, Obesity/BMI, Prostate cancer, Type 1 Diabetes, Type 2 Diabetes).  We will use the AoU dataset to produce a resource that can be used to reduce the ancestry-dependent bias in these 10 PRS.  This resource will initially be used by the eMERGE IV consortium, which is an NIH-funded consortium of clinical centers across the United States, with an aim to enroll a prospective cohort of 25,000 individuals.","Project Purpose(s)
Control Set","Scientific Approaches
Arrays will be imputed using the phasing and imputation tools Eagle2 and Minimac4.  Polygenic risk score will then be calculated using the population genomics tool PLINK.  A simple linear model will then be fit to the scores, which attempt to describe the macroscopic relationship between genetic ancestry and observed polygenic scores.  The fitted parameters of this model can then be used to reduce genetic ancestry-dependent bias when calculating these scores in a clinical setting.","Anticipated Findings
We will produce a set of fitted parameters for a simple model which attempts to describe the macroscopic relationship between genetic ancestry and observed polygenic scores.  The fitted parameters of this model can then be used as a resource to reduce genetic ancestry-dependent bias when calculating these scores in a clinical setting.","Demographic Categories of Interest
Race / Ethnicity","Data Set Used
Controlled Tier","Research Team
Owner:
Harry Green
- Mid-career Tenured Researcher, University of Exeter"
