title,main_goal_and_aims,Questions,Purpose,Approaches,Findings,Categories,DataTier,Team
environmental health,"The specific scientific question I intend to study is: ""What is the association between air pollution and the incidence of lung cancer?"" This question is of paramount importance due to the increasing global burden of lung cancer and the growing…","Scientific Questions Being Studied
The specific scientific question I intend to study is: ""What is the association between air pollution and the incidence of lung cancer?"" This question is of paramount importance due to the increasing global burden of lung cancer and the growing evidence that air pollution plays a significant role in the etiology of respiratory diseases, including lung cancer. Understanding this association is critical for several reasons:
Public Health Impact: Lung cancer remains one of the leading causes of cancer-related deaths worldwide. Identifying and quantifying the role of air pollution in lung cancer development could lead to targeted public health interventions, policies for air quality improvement, and ultimately, a reduction in lung cancer incidence and mortality.","Project Purpose(s)
Disease Focused Research (cancer)","Scientific Approaches
Datasets:
Air Quality Data: Sources could include the Environmental Protection Agency (EPA) Air Quality System (AQS) database.
Health Outcomes Data: Acquire lung cancer incidence and mortality data from cancer registries. This data will include information on lung cancer cases, demographic variables (age, sex), and geographic location.
Covariate Data: Collect data on potential confounders and effect modifiers, including smoking rates, socio-economic status, and occupational exposures
Research Methods:
Exposure Assessment: Use  models to estimate individual or community-level exposure to air pollutants based on residential or workplace locations.
Epidemiological Analysis: Conduct observational studies, such as cohort or case-control studies, to assess the relationship between air pollution exposure and lung cancer risk. This will involve calculating relative risks, odds ratios, and attributable risks, adjusting for confounders.","Anticipated Findings
The study aims to identify a quantitative relationship between long-term exposure to specific air pollutants (e.g., PM2.5, NO2) and the incidence of lung cancer. Findings are expected to highlight the risk increase associated with certain levels of exposure.
Through spatial analysis, the research may uncover geographic patterns in the correlation between air pollution levels and lung cancer rates, identifying areas with elevated risks.
Public Health Policies: The findings will provide robust evidence to support the development of targeted public health policies and air quality standards aimed at reducing lung cancer incidence. This evidence can advocate for stricter air pollution controls and inform guidelines for safe exposure levels.
Environmental Justice: Identifying spatial hotspots and differential risks can contribute to the discourse on environmental justice, highlighting communities disproportionately affected by air pollution and prompting targeted interventions.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Registered Tier","Research Team
Owner:
Yanhong Huang
- Graduate Trainee, University of New Mexico and University of New Mexico Health Sciences Center"
Cardio Paper Working Version,This study seeks to understand the relationship between ambient air pollution concentrations (PM2.5 and NO2) and the incidence of hypertension in the All of Us cohort. To explore this association we will match modelled air quality data for the continental…,"Scientific Questions Being Studied
This study seeks to understand the relationship between ambient air pollution concentrations (PM2.5 and NO2) and the incidence of hypertension in the All of Us cohort. To explore this association we will match modelled air quality data for the continental USA to participant zip code prefix. Analysis will consist of multivariate logistic regression and generalized additive models.","Project Purpose(s)
Disease Focused Research (hypertension)
Population Health","Scientific Approaches
This study seeks to understand the relationship between ambient air pollution concentrations (PM2.5 and NO2) and the incidence of hypertension in the All of Us cohort. To explore this association we will match modelled air quality data for the continental USA to participant zip code prefix. Analysis will consist of multivariate logistic regression and generalized additive models.","Anticipated Findings
We anticipate an association between air pollution concentrations and the incidence of hypertension. We anticipate that the strength of this association will vary by race and other demographic factors, as well as by smoking status and other behavioral health factors.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Controlled Tier","Research Team
Owner:
Maia Griffith
- Project Personnel, University of Chicago
Jiajun Luo
- Research Fellow, University of Chicago
Andrew Craver
- Project Personnel, University of Chicago
Collaborators:
Yuqing Yang - Project Personnel, University of Chicago"
Asthma Paper,This study seeks to understand the relationship between ambient air pollution concentrations (PM2.5 and NO2) and the incidence of hypertension in the All of Us cohort. To explore this association we will match modelled air quality data for the continental…,"Scientific Questions Being Studied
This study seeks to understand the relationship between ambient air pollution concentrations (PM2.5 and NO2) and the incidence of hypertension in the All of Us cohort. To explore this association we will match modelled air quality data for the continental USA to participant zip code prefix. Analysis will consist of multivariate logistic regression and generalized additive models.","Project Purpose(s)
Disease Focused Research (hypertension)
Population Health","Scientific Approaches
This study seeks to understand the relationship between ambient air pollution concentrations (PM2.5 and NO2) and the incidence of hypertension in the All of Us cohort. To explore this association we will match modelled air quality data for the continental USA to participant zip code prefix. Analysis will consist of multivariate logistic regression and generalized additive models.","Anticipated Findings
We anticipate an association between air pollution concentrations and the incidence of hypertension. We anticipate that the strength of this association will vary by race and other demographic factors, as well as by smoking status and other behavioral health factors.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Controlled Tier","Research Team
Owner:
Andrew Craver
- Project Personnel, University of Chicago
Maia Griffith
- Project Personnel, University of Chicago
Jiajun Luo
- Research Fellow, University of Chicago
Collaborators:
Kate Burrows - Early Career Tenure-track Researcher, University of Chicago
Yuqing Yang - Project Personnel, University of Chicago"
Duplicate of Wearables Pollution and Temperature Controlled Tier,"Exposure to ambient air pollution and extreme temperature has significant consequences for human health and mortality. Behavioral responses to air pollution and temperature are of academic and public interest in and of themselves, but they can also reveal the social…","Scientific Questions Being Studied
Exposure to ambient air pollution and extreme temperature has significant consequences for human health and mortality. Behavioral responses to air pollution and temperature are of academic and public interest in and of themselves, but they can also reveal the social costs of pollution and extreme temperatures, or the benefits of their mitigation, informing cost-benefit analysis of environmental policy. This project aims to use wearables data from the All of Us project. to examine (1) how human behavior changes in response to pollution and temperature shocks and (2) mechanisms through which pollution and temperature affect human health and physical performance.","Project Purpose(s)
Population Health
Social / Behavioral","Scientific Approaches
This project will use econometric and causal inference tools common in applied microeconomics research to explore behavioral responses to ambient air pollution and extreme temperature. It will incorporate publicly available weather and temperature data as well as pollution data from local pollution monitors as and satellite measures.","Anticipated Findings
This study will provide a novel approach to valuing pollution avoidance and climate change mitigation, contributing to a growing literature in environmental economics. Whereas much of the existing literature identifies health impacts for vulnerable populations like infants and the elderly, populations for which relevant data are available from administrative records, these wearables data can be used to analyze impacts on other demographic groups, including non-elderly adults.","Demographic Categories of Interest
Race / Ethnicity
Age
Geography
Education Level
Income Level","Data Set Used
Controlled Tier","Research Team
Owner:
Robert Harris
- Other, Georgia Institute of Technology"
Stillbirth and Social Determinants of Health,"Intrauterine fetal demise (IUFD) or stillbirth, is defined in the US as death ≥20 weeks gestation and occurs in about 1 in 160 pregnancies (CDC). Numerous medical risk factors have been identified as contributing to stillbirth, as have several social…","Scientific Questions Being Studied
Intrauterine fetal demise (IUFD) or stillbirth, is defined in the US as death ≥20 weeks gestation and occurs in about 1 in 160 pregnancies (CDC). Numerous medical risk factors have been identified as contributing to stillbirth, as have several social determinants, such as race, income, education, access to antenatal cate, air pollution, and drug use.  There is a paucity of literature examining the association of social determinants of health on IUFD as well as the impact social determinants of health have on stillbirth evaluation. Previous literature has shown placental pathology, fetal autopsy, and genetic testing identified as the most useful in determining stillbirth cause. However, little data analyzing whether socioeconomically disadvantaged groups are receiving these recommended evaluations exists. This study seeks to examine the social, racial, and economic factors that may be contributing to stillbirth as well as the role these determinants may have on stillbirth evaluation.","Project Purpose(s)
Social / Behavioral
Ancestry","Scientific Approaches
Previously performed cross-sectional study using institutional data were used to develop a predictive model for stillbirth. Use of information obtained using the All of Us dataset will be used to help validate our model. Additional data on social determinants of health among women experiencing stillbirth  will be analyzed, as well as any existing genetic data for these cases.","Anticipated Findings
We anticipate findings demonstrating an impact for social determinants of health on the occurrence of stillbirth as well the evaluation performed thereafter. This study offers a benefit to the medical community in that it may allow for more complete understanding of the factors influencing intrauterine fetal demise leading to better and more equitable prenatal care, delivery planning, and genetic evaluation for patients with a history of intrauterine fetal demise.","Demographic Categories of Interest
Race / Ethnicity
Geography
Access to Care
Education Level
Income Level","Data Set Used
Registered Tier","Research Team
Owner:
Lena Shay
- Research Fellow, Baylor College of Medicine"
Climate change and mental health,"This project will evaluate the association between climate-related exposures (air pollution, temperature) and the incidence of mental disorders. We will also investigate whether this association varies by age, race, or sex. We will investigate a range of different mental disorders:…","Scientific Questions Being Studied
This project will evaluate the association between climate-related exposures (air pollution, temperature) and the incidence of mental disorders. We will also investigate whether this association varies by age, race, or sex. We will investigate a range of different mental disorders:
- schizophrenia spectrum disorder [ICD9: 295, 297, 298 (298.0 excluded)],
- bipolar disorder (296.0, 296.1,296.4–8),
- depression (296.2–3, 298.0, 300.4, 309.0, 309.1, 311),
- anxiety, stress-related and somatoform disorders [300 (300.3, 300.4 and 300.7 excluded), 306,307.4, 307.8–307.9, 308, 316],
- personality and behaviour disorders (301, 302, 312), and
- substance use disorders (291, 292, 303, 304, 305).","Project Purpose(s)
Disease Focused Research (anxiety disorder)
Population Health","Scientific Approaches
We will assign exposure based on 3 digit zip code. We will then create a cohort of All of Us participants without mental health conditions at baseline and develop matched controls (by age, sex, educational status, race/ethnicity, and marital status).","Anticipated Findings
We anticipate identifying an association between air pollution and the incidence of mental disorders, and that the strength of this association may vary by sociodemographic characteristics. This will be one of the first studies to evaluate the impact of pollution on the development of new mental disorders.","Demographic Categories of Interest
Race / Ethnicity
Age","Data Set Used
Controlled Tier","Research Team
Owner:
Kate Burrows
- Early Career Tenure-track Researcher, University of Chicago"
Air pollution sensitivity and asthma incidence,"Previous studies have shown that living somewhere with high levels of air pollution makes it more likely that a person will develop asthma. While in the long term we need to decrease air pollution levels nationwide, we urgently need ways…","Scientific Questions Being Studied
Previous studies have shown that living somewhere with high levels of air pollution makes it more likely that a person will develop asthma. While in the long term we need to decrease air pollution levels nationwide, we urgently need ways to protect people exposed to air pollution. To do this, we need to understand how being exposed to air pollution leads to asthma. Knowing which genetic variants make a person more likely to develop asthma when they are exposed to air pollution can help us with this. First, because it may show us which people are especially at risk and therefor allow us to target these people with screening or public health interventions and second, because these genetic variants may point to certain biological processes that we can then target with medications.","Project Purpose(s)
Ancestry","Scientific Approaches
We plan on using data from the Environmental Protection Agency to determine which people live in areas with high levels of air pollution. In this group of people, we plan on comparing the genetic variants between people with asthma and people without asthma.","Anticipated Findings
We hope to validate genetic variants that have been previously linked with developing asthma when exposed to air pollution and discover new variants. This may help us define at risk populations and therapeutic targets. Given the inequitable distribution of air pollution exposure in the United States, protecting exposed populations from the effects of air pollution may help reduce asthma inequities.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Controlled Tier","Research Team
Owner:
Jelte Kelchtermans
- Early Career Tenure-track Researcher, University of Pennsylvania"
Air pollution and climate change on cardiometabolic health,"Epidemiological evidence has shown climate change (including extreme heat and elevated temperature) and air pollution have adverse effects on population health, especially cardiovascular disease and metabolic diseases. However, there is limited information on individual susceptibility to climate change and air…","Scientific Questions Being Studied
Epidemiological evidence has shown climate change (including extreme heat and elevated temperature) and air pollution have adverse effects on population health, especially cardiovascular disease and metabolic diseases. However, there is limited information on individual susceptibility to climate change and air pollution in terms of genetic variant, lifestyle and behavior factors. The overall aim of this project is to investigate how climate change, air pollution and lifestyle are affecting cardiometabolic diseases among representative US population in the All of US program. First, we will investigate how climate-related extreme events and air pollution together impact cardiometabolic disease incidence and mortality. Second, we will examine whether lifestyle and behavior information modify the impact of environmental factor on cardiometabolic health. Third, we will leverage genetic variant and assess individual susceptibility.","Project Purpose(s)
Disease Focused Research (cardiovascular disease, type 2 diabetes, cardiometabolic disease)
Population Health","Scientific Approaches
We will match All of US participants' location with spatial-temporal datasets containing air pollution, extreme heat and temperature exposure and link diseases incidence and mortality EMR datasets in All of US database. Epidemiological analysis will be conducted to assess the impact of air pollution and climate change on cardiometabolic health incidence and mortality. We will additional explore using Fitbit data as an indicator of the individual behavior and test whether it can be used as an indicator of climate adaptation. Lastly, we will conduct statistical analysis testing genetic variant of cardiometabolic susceptibility during high air pollution period and/or during heatwave events.","Anticipated Findings
For the first aim, we anticipated that we found that air pollution and heat exposure is associated with higher incidence and mortality of the cardiometabolic diseases. For the second aim, we anticipated that we found increased physical activity could reduce adverse impact of air pollution and extreme heat exposure. For the third aim, we anticipated to replicate some of the previously identified genetic variants that are susceptible markers of the cardiometabolic diseases.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Controlled Tier","Research Team
Owner:
Jiawen Liao
- Research Fellow, University of Southern California"
LCS-EPI,I am using low-cost air sensors to monitor the air pollution concentration in certain areas. I want to observe the air pollution-related health disparities occurring in some regions where underrepresented populations are in the United States. Air pollution is related…,"Scientific Questions Being Studied
I am using low-cost air sensors to monitor the air pollution concentration in certain areas. I want to observe the air pollution-related health disparities occurring in some regions where underrepresented populations are in the United States. Air pollution is related to respiratory diseases, such as asthma. I hope to find some health data related to respiratory diseases with geographical information for environmental justice research.","Project Purpose(s)
Population Health
Educational","Scientific Approaches
I want to use geographic information and health outcomes to see whether underrepresented and vulnerable populations are more exposed to air pollution than other populations. Also, I hope to see underrepresented and vulnerable populations have higher incidence rates for certain respiratory diseases, such as COPD.","Anticipated Findings
I anticipate that people living in unprotected areas from air pollution exposure can experience respiratory disease symptoms with a higher likelihood than those of others who are living in more clean areas.","Demographic Categories of Interest
Geography
Education Level
Income Level","Data Set Used
Registered Tier","Research Team
Owner:
In Kyu Park
- Graduate Trainee, University of Massachusetts, Amherst"
Glaucoma and environmental factors,"Glaucoma is the leading cause of irreversible blindness worldwide, affecting approximately 80 million people. The exact mechanisms of glaucoma development remain unclear, but oxidative stress, inflammatory pathways, and microvascular changes have been shown to play an important role. The same…","Scientific Questions Being Studied
Glaucoma is the leading cause of irreversible blindness worldwide, affecting approximately 80 million people. The exact mechanisms of glaucoma development remain unclear, but oxidative stress, inflammatory pathways,  and microvascular changes have been shown to play an important role. The same mechanisms have been linked to air pollution and recent studies have shown that greater exposure of air pollutants are associated with both self-reported glaucoma and adverse structural characteristics of the disease. A better understanding of the association between glaucoma and air pollution, can help identify modifiable risk factors and, hopefully, provide actionable advice for patients and health care professionals to improve glaucoma management.","Project Purpose(s)
Disease Focused Research (glaucoma)","Scientific Approaches
We plan to conduct an epidemiological study. To reflect chronic exposure, we will assess data from participants who have responded to The Basics survey question “How many years have you lived at your current address?” with either “6 to 10” or “11 to 20 or “more 20”. Cases of glaucoma will be identified using SNOMED-CT. To assess exposure of air pollutants, we will use publicly available government sources obtained from the Environmental Protection Agency (EPA) using ZIP Code Tabulation Areas (ZCTAs). We will match to the nearest location of measurement for each environmental variable to assign each patient a single set of environmental measurements. We will use logistic regression models to quantify the association of environmental variables with our primary outcome of glaucoma.","Anticipated Findings
We expect to obtain novel insights to increase our understanding of the relationship between greater exposure to air pollutants, and other environmental factors, and the risk of glaucoma. Using ""All of Us"" data, we hope to contribute new knowledge that can potentially identify new modifiable risk factors for glaucoma.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Controlled Tier","Research Team
Owner:
Anna-Sophie Thein
- Graduate Trainee, University of California, San Francisco"
