title,main_goal_and_aims,Questions,Purpose,Approaches,Findings,Categories,DataTier,Team
"Cardiovascular Signals - PPG, ECG, Blood Pressure","We would like to study the relationship between different cardiovascular signals (such as PPG, ECG, Blood Pressure, etc.) in a diverse cohort. The understanding gained in the study can guide the R&D of technologies to better utilize the data obtainable…","Scientific Questions Being Studied
We would like to study the relationship between different cardiovascular signals (such as PPG, ECG, Blood Pressure, etc.) in a diverse cohort.
The understanding gained in the study can guide the R&D of technologies to better utilize the data obtainable by convenient devices (such as smartphones and/or wearable devices) to provide accessible and affordable health screening.","Project Purpose(s)
Methods Development","Scientific Approaches
We will first understand the available datasets in All-of-Us and identify the suitable ones for our initial study.  We plan to use signal processing, data science, and machine learning techniques to understand the relations of different modalities of cardiovascular sensing data.","Anticipated Findings
The understanding gained in the study can guide the R&D of technologies to better utilize the data obtainable by convenient devices (such as smartphones and/or wearable devices) to provide accessible and affordable health screening.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Registered Tier","Research Team
Owner:
Min Wu
- Mid-career Tenured Researcher, University of Maryland, College Park"
Statin Usage,"Statins are a cornerstone of primary and secondary prevention of Atherosclerotic cardiovascular disease (ASCVD), the leading cause of mortality and disability in the United States. Despite the conclusive evidence to the reduction of mortality among ASCVD patients, adherence patterns to…","Scientific Questions Being Studied
Statins are a cornerstone of primary and secondary prevention of Atherosclerotic cardiovascular disease (ASCVD), the leading cause of mortality and disability in the United States. Despite the conclusive evidence to the reduction of mortality among ASCVD patients, adherence patterns to this treatment remain alarmingly low with rates of discontinuity approaching 50% in the US population. Current research investigating this pattern have elucidated the impact of clinic-specific factors and patient-physician interactions, but these studies have been limited in generalizability as a result of operating in isolated health care systems. I seek to implement novel computational techniques to analyze patient record data en masse and to uncover the epidemiology of treatment adherence and to address unmet clinical needs of particularly vulnerable patient populations.","Project Purpose(s)
Population Health","Scientific Approaches
I will use machine learning algorithms to analyze electronic health records in the aggregate. This will allow the identification of patterns of treatment adherence for statin medication across the population.","Anticipated Findings
Previous research has suggested that patient adherence is multilayer, affected by factors like differences in clinical systems, patient-physician interaction, and systemic inequality. However, the difficulty of parsing through unstructured clinical notes has reduced many study designs to look at single health care systems and introduce significant bias in the findings. This has limited a robust understanding of the epidemiology of statin use and have likely contributed to unmet clinical needs of patients particularly from high-risk and vulnerable communities. My work will fill gaps in the understanding of statin adherence to inform future policy changes and promote better access to care.","Demographic Categories of Interest
Race / Ethnicity
Access to Care
Education Level
Income Level","Data Set Used
Controlled Tier","Research Team
Owner:
Gabriela Escobar
- Undergraduate Student, Stanford University"
OSA and comorbidities,"We are interested in the conditions that accompany obstructive sleep apnea (OSA). There are conditions that are risk factors for OSA, so we expect to see those prior to a diagnosis of the sleep problem. There are also many comorbidities…","Scientific Questions Being Studied
We are interested in the conditions that accompany obstructive sleep apnea (OSA). There are conditions that are risk factors for OSA, so we expect to see those prior to a diagnosis of the sleep problem. There are also many comorbidities of OSA, such as cardiovascular disease, mental health problems, and diabetes. We believe that there may be mechanisms underlying OSA and these comorbidities that are present before diagnosis. We therefore want to look at when co-occurring conditions occur before and after a diagnosis of OSA. We also wish to assess those conditions in people without OSA as a comparison.","Project Purpose(s)
Disease Focused Research (obstructive sleep apnea)","Scientific Approaches
We will look at conditions relative to the date of diagnosis of OSA. We will assess the timeline of occurrence of events (diagnosis, survey, vital) relative to OSA, and assess the conditions that occur early, simultaneously or late. We will look at the conditions commonly associated with OSA (CV disease, mental health, etc) in people without indication of a sleep disorder, and see whether the timeline and severity differs with the OSA group.","Anticipated Findings
We expect to see conditions occurring prior to a diagnosis of OSA. This would suggest 1) that we may be detecting OSA late, and that these conditions may be potentially able to help improve screening for OSA, and 2) we may identify possible underlying pathophysiology that could be present in OSA that is also contributing to other health problems.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Registered Tier","Research Team
Owner:
Paul Macey
- Mid-career Tenured Researcher, University of California, Los Angeles"
Determinants of cardiovascular disease across minority populations V4,Cardiovascular disease (CVD) are responsible for a substantial proportion of the morbidity and mortality observed in the general population. Mounting evidence indicates that this impact disproportionately affects minority populations. This disproportionate effect is not only present in minorities defined by…,"Scientific Questions Being Studied
Cardiovascular disease (CVD) are responsible for a substantial proportion of the morbidity and mortality observed in the general population. Mounting evidence indicates that this impact disproportionately affects minority populations. This disproportionate effect is not only present in minorities defined by race/ethnicity, but also in those defined by age, sexual orientation, and other characteristics.  The main questions of this study are: (1) can we use All of US to identify novel risk factors for cardiovascular disease that are specific to a given minority group? (2) Are existing  risk factors for CVD shared across all minority groups? (3) How do the effects of these risk factors vary when considering more than one minority group? These questions are important to (1) identify groups of persons at particularly high risk of sustaining these conditions that may benefit from tailored diagnostic and therapeutic interventions; and (2) identify new treatments for these conditions.","Project Purpose(s)
Disease Focused Research (cardiovascular system disease)
Population Health
Social / Behavioral
Ancestry","Scientific Approaches
We will use the All of US dataset V4. We will identify variables that represent (1) cardiovascular disease (myocardial infarction, coronary artery disease, stroke); (2) all the known cardiovascular risk factors for each of these conditions; (3) physiological variables that either define a risk factor or are associated with risk of cardiovascular disease (blood pressure, cholesterol levels, hemoglobin A1C); (4) social determinants of health; and (5) identify the underrepresented groups of interest. We will use linear and logistic regression to test for association between cardiovascular risk factors, social determinants of health, and the conditions of interest, and product terms to test for effect modification between contributor variables.","Anticipated Findings
We expect to find that: (1) a substantial number of the known vascular risk factors increase risk of cardiovascular disease across all evaluated groups; (2) both social determinants of health and known cardiovascular risk factors are independently associated with these cardiovascular conditions; and (3) there are interactions between the effect of social determinants of health and known cardiovascular risk factors. These findings will helps us to (1) identify groups of persons at particularly high risk of sustaining these conditions that may benefit from tailored diagnostic and therapeutic interventions; and (2) identify new treatments for these conditions.","Demographic Categories of Interest
Race / Ethnicity
Age
Sex at Birth
Gender Identity
Sexual Orientation
Geography
Disability Status
Access to Care
Education Level
Income Level","Data Set Used
Registered Tier","Research Team
Owner:
Julian Acosta
- Research Fellow, Yale University
Guido Falcone
- Early Career Tenure-track Researcher, Yale University
Audrey Leasure
- Graduate Trainee, Yale University
Collaborators:
Zachariah Demarais - Graduate Trainee, Yale University
Daniela Renedo - Research Fellow, Yale University
Cyprien Rivier - Research Fellow, Yale University
Carolyn Conlon - Graduate Trainee, Yale University"
Cardiovascular Disease Genetics,We hope to better understand who is at risk of cardiovascular disease and are currently exploring the available data in the All of Us program to identify potential research objectives that can be answered with this data set.,"Scientific Questions Being Studied
We hope to better understand who is at risk of cardiovascular disease and are currently exploring the available data in the All of Us program to identify potential research objectives that can be answered with this data set.","Project Purpose(s)
Disease Focused Research (cardiovascular system disease)
Ancestry","Scientific Approaches
We primarily perform genome-wide association studies to connect genetic variants with diseases and traits. For example, genetic variants can increase or decrease an individuals cholesterol levels compared to the population average.  Through the use of polygenic scores, these variants can be combined together to identify individuals most at risk of cardiovascular disease. Tools used include BOLT-LMM, SAIGE, and custom scripts (R/Python) to perform statistical analysis.","Anticipated Findings
We anticipate identifying novel genetic variants associated with cardiovascular disease.  The end goal of these projects are to better understand the biology of cardiovascular disease and potentially develop new diagnostic methods or potential new therapeutic targets.","Demographic Categories of Interest
Race / Ethnicity","Data Set Used
Registered Tier","Research Team
Owner:
Sarah Graham
- Project Personnel, University of Michigan"
PTSD AND CVD,"Although cardiovascular disease (CVD) is the leading cause of death among men and women over the age of 65 in the United States, men account for more than half of the deaths due to CVD. Moreover, evidence suggests that cardiovascular…","Scientific Questions Being Studied
Although cardiovascular disease (CVD) is the leading cause of death among men and women over the age of 65 in the United States, men account for more than half of the deaths due to CVD. Moreover, evidence suggests that cardiovascular disparities exist among men, such that those who identify as sexual minorities are more likely to experience poor cardiovascular health as compared to heterosexuals. The objective of this proposal is to examine physiological and behavioral mechanisms linking self-reported PTSD to cardiovascular disease risk. We also would like to understand the moderating effect of race/ethnicity. The long-term objective of this research is to inform the creation of culturally relevant interventions to reduce the risk of CVD among YSMM. The proposed study specifically aims to:","Project Purpose(s)
Disease Focused Research (CVD)
Population Health
Social / Behavioral","Scientific Approaches
I will explore datasets that provide self report information on the constructs discussed above.
1. Descriptive statistics. Descriptive statistics for all variables will be calculated. Distributional properties will be examined using summary statistics (e.g., mean, median, SD) and graphs (e.g., histograms and box plots). I will confirm psychometric properties (e.g., internal consistency) of all scales. All management, basic analyses, and assumption testing will be done in Stata 16.23 Hypothesis testing will be conducted in Mplus v8.24
2. Multivariate linear regression (MLR) will be used to asses if PTSD predicts mean CVD risk.
3. MLR will be used to assess if race/ethnicity moderated the association between PTSD and CVD risk.","Anticipated Findings
the mechanisms linking PTSD and intermediate cardiovascular factors among racially diverse individuals remain under-explored.  Conducting this research is vitally important considering the heightened rates of both stress from discrimination and CVD  disease. Secondly,  understanding what the potential ""buffers"" are that mitigate the negative effects of PTSD on cardiovascular risk factors is critically important if we are going to create tailored interventions to reduce CVD.","Demographic Categories of Interest
Race / Ethnicity","Data Set Used
Registered Tier","Research Team
Owner:
Stephanie Cook
- Early Career Tenure-track Researcher, New York University
Collaborators:
Catherine Xin - Graduate Trainee, New York University
zhilin Wang - Project Personnel, New York University
Chenziheng Weng - Graduate Trainee, New York University
Erica Wood - Graduate Trainee, New York University"
admixed_prs_analysis,"With ancestry-specific GWAS results for a variety of cardiovascular traits, we will develop PRSs with a variety of LD panels and test performance in African-ancestry, European-ancestry, and admixed ancestry groups. The primary goal will be to improve the performance of…","Scientific Questions Being Studied
With ancestry-specific GWAS results for a variety of cardiovascular traits, we will develop PRSs with a variety of LD panels and test performance in African-ancestry, European-ancestry, and admixed  ancestry groups. The primary goal will be to improve the performance of PRSs in individuals of admixed ancestry.","Project Purpose(s)
Methods Development","Scientific Approaches
We will use All of Us genetic data to assess the performance of PRSs for a variety of cardiovascular diseases. We will use plink2 and R primarily.","Anticipated Findings
We hope to find that the best performing PRSs for admixed individuals are scores built from diverse GWAS summary statistics. Our findings will contribute to the clinical utility of PRSs by determining best practices for building PRSs that can be used in individuals of multiple, or unknown genetic ancestry.","Demographic Categories of Interest
Race / Ethnicity","Data Set Used
Controlled Tier","Research Team
Owner:
Sophia Gunn
- Research Fellow, New York Genome Center"
Folate and Heart disease,To evaluate the relationship between serum folate and heart diseases with special focus on myocardial infarction (heart attack). There is currently no consensus in the literature on the effect of elevated blood folate on cardiovascular disease outcomes. With the food…,"Scientific Questions Being Studied
To evaluate the relationship between serum folate and heart diseases with special focus on myocardial infarction (heart attack). There is currently no consensus in the literature on the effect of elevated blood folate on cardiovascular disease outcomes. With the food fortification with folic acid mandate in the US, the average serum levels of folate has increased for not just women in their reproductive age but everyone in the US. There is a need to be sure of the effect of elevated folate on other health outcomes apart from neural tube defects. It is our hope that the relationship between folate and heart diseases will be better understood using the All of Us data for policy makers to re-evaluate the mandatory food fortification policy in the US.","Project Purpose(s)
Disease Focused Research (Heart disease)","Scientific Approaches
We will divide the serum folate variable into quartiles and use that as a predictor variable of myocardial infarction among the study participants. Both binary and multivariable logistic regression models will be used for this analysis.","Anticipated Findings
It is our hope that the relationship between folate and heart diseases will be better understood using the All of Us data for policy makers to re-evaluate the mandatory food fortification policy in the US.","Demographic Categories of Interest
Race / Ethnicity","Data Set Used
Registered Tier","Research Team
Owner:
Felix Twum
- Early Career Tenure-track Researcher, University of Southern Mississippi"
Duplicate of Demo - Hypertension Prevalence,"We are using the All of Us Researcher Workbench interface to answer the question, ""Is hypertension prevalence in the All of Us Research Program similar to hypertension prevalence in the 2015–2016 National Health and Nutrition Examination Survey (NHANES) ?"". Clinical…","Scientific Questions Being Studied
We are using the All of Us Researcher Workbench interface to answer the question, ""Is hypertension prevalence in the All of Us Research Program similar to hypertension prevalence in the 2015–2016 National Health and Nutrition Examination Survey (NHANES) ?"". Clinical approaches to understanding and treating hypertension may benefit from the integration of a precision medicine approach that integrates data on environments, social determinants of health, behaviors, and genomic factors that contribute to hypertension risk. Hypertension is a major public health concern and remains a leading risk factor for stroke and cardiovascular disease.","Project Purpose(s)
Other Purpose (This work is an AoU demo project. Demo projects are efforts by the AoU Research Program designed to meet the program goal of ensuring the quality and utility of the Research Hub as a resource for accelerating discovery in science and medicine. As an approved demo project, this work was reviewed and overseen by the AoU Research Program Science Committee and the AoU Data and Research Center to ensure compliance with program policy, including policies for acceptable data access and use. )","Scientific Approaches
In this cross-sectional, population-based study, we used All of Us baseline data from patient (age>18) provided information (PPI) surveys and electronic health record (EHR) blood pressure measurements and retrospectively examined the prevalence of hypertension in the EHR cohort using Systemized Nomenclature of Medicine (SNOMED codes and blood pressure medications recorded in the EHR.  We used the EHR data (SNOMED codes on 2 distinct dates and at least one hypertension medication) as the primary definition, and then add subjects with elevated systolic or elevated diastolic blood pressure on measurements 2 and 3 from PPI.   We extracted each participant’s detailed dates of SNOMED code for essential hypertension from the Researcher Workbench table ‘cb_search_all_events’. We calculated an age-standardized HTN prevalence according to the age distribution of the U.S. Census, using 3 groups (18-39, 40-59, ≥ 60).","Anticipated Findings
The prevalence of hypertension in the All of Us cohort is similar to that of published literature. All of Us age-adjusted HTN prevalence was 27.9% compared to 29.6% in National Health and Nutrition Examination Survey. The All of Us cohort is a growing source of diverse longitudinal data that can be utilized to study hypertension nationwide. The prevalence of hypertension varies in the United States (U.S.) by age, sex, and socioeconomic status. Hypertension can often be treated successfully with medication, and prevented or delayed with lifestyle modifications. Even with these established hypertension intervention and prevention strategies, the prevalence of hypertension continues to be at levels of public health concern. The diversity within All of Us may provide insight into factors relevant to hypertension prevention and treatments in a variety of social and geographic contexts and population strata in the U.S.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Registered Tier","Research Team
Owner:
Seungwon Yang
- Early Career Tenure-track Researcher, Louisiana State University"
VHD,"Our main objective is to identify determinants of valvular heart disease, a leading cause of cardiovascular morbidity worldwide.","Scientific Questions Being Studied
Our main objective is to identify determinants of valvular heart disease, a leading cause of cardiovascular morbidity worldwide.","Project Purpose(s)
Disease Focused Research (valvular heart disease)
Population Health
Social / Behavioral
Drug Development
Ancestry","Scientific Approaches
To answer our scientific questions, we will perform secondary analyses of existing datasets.","Anticipated Findings
We anticipate that our results will yield novel strategies to decrease the burden of valvular heart disease.","Demographic Categories of Interest
Race / Ethnicity
Geography
Access to Care","Data Set Used
Registered Tier","Research Team
Owner:
T.M. Ayodele Adesanya
- Research Fellow, Ohio State University"
