title,main_goal_and_aims,Questions,Purpose,Approaches,Findings,Categories,DataTier,Team
Khalid Khan,My research interest lies in delving into the intricate relationship between environmental metal exposure and Alzheimer's disease (AD) and related dementias (ADRD) among the elderly population. I am driven by specific scientific questions that aim to uncover the potential links…,"Scientific Questions Being Studied
My research interest lies in delving into the intricate relationship between environmental metal exposure and Alzheimer's disease (AD) and related dementias (ADRD) among the elderly population. I am driven by specific scientific questions that aim to uncover the potential links between exposure to environmental metals and the initiation or progression of these neurodegenerative disorders. One of the central aspects of my research involves assessing the contribution of environmental metal exposure to the risk of developing AD and ADRD in the elderly. Metals such as lead, mercury, and aluminum, arsenic, copper, magnesium commonly found in the environment, have the potential to accumulate in the body over time. Understanding this association is vital for identifying preventive measures and interventions to safeguard cognitive health in aging populations.","Project Purpose(s)
Population Health
Educational","Scientific Approaches
I plan to employ a multidisciplinary approach, integrating epidemiological analysis of existing datasets on metal exposure and cognitive outcomes in the elderly. Utilizing statistical methods, I aim to identify associations and potential biomarkers indicative of neurotoxicity. Advanced imaging tools may aid in elucidating mechanisms. Overall, this research will leverage diverse datasets, statistical analyses, and cutting-edge tools to comprehensively address the intricate relationship between environmental metal exposure and Alzheimer's disease in the elderly.","Anticipated Findings
Anticipated findings from this study may unveil significant associations between environmental metal exposure and AD/ADRD, shedding light on specific metals' roles and potential biomarkers for neurotoxicity. Such findings would significantly contribute to the scientific knowledge in the field by providing a nuanced understanding of the environmental contributors to Alzheimer's disease and related dementias in the elderly. Additionally, unveiling gene-environment interactions offers a personalized approach to assessing susceptibility. These contributions not only advance our theoretical understanding of the complex interplay between environmental factors and neurodegenerative diseases but also hold practical implications for developing evidence-based public health policies aimed at reducing metal exposure and safeguarding cognitive health in aging populations.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Registered Tier","Research Team
Owner:
Khalid Khan
- Mid-career Tenured Researcher, Sam Houston State University"
Fahmida Rashid,My research interest lies in delving into the intricate relationship between environmental metal exposure and Alzheimer's disease (AD) and related dementias (ADRD) among the elderly population. I am driven by specific scientific questions that aim to uncover the potential links…,"Scientific Questions Being Studied
My research interest lies in delving into the intricate relationship between environmental metal exposure and Alzheimer's disease (AD) and related dementias (ADRD) among the elderly population. I am driven by specific scientific questions that aim to uncover the potential links between exposure to environmental metals and the initiation or progression of these neurodegenerative disorders. One of the central aspects of my research involves assessing the contribution of environmental metal exposure to the risk of developing AD and ADRD in the elderly. Metals such as lead, mercury, and aluminum, arsenic, copper, magnesium commonly found in the environment, have the potential to accumulate in the body over time. Understanding this association is vital for identifying preventive measures and interventions to safeguard cognitive health in aging populations.","Project Purpose(s)
Educational","Scientific Approaches
I plan to employ a multidisciplinary approach, integrating epidemiological analysis of existing datasets on metal exposure and cognitive outcomes in the elderly. Utilizing statistical methods, I aim to identify associations and potential biomarkers indicative of neurotoxicity. Advanced imaging tools may aid in elucidating mechanisms. Overall, this research will leverage diverse datasets, statistical analyses, and cutting-edge tools to comprehensively address the intricate relationship between environmental metal exposure and Alzheimer's disease in the elderly.","Anticipated Findings
Anticipated findings from this study may unveil significant associations between environmental metal exposure and AD/ADRD, shedding light on specific metals' roles and potential biomarkers for neurotoxicity. Such findings would significantly contribute to the scientific knowledge in the field by providing a nuanced understanding of the environmental contributors to Alzheimer's disease and related dementias in the elderly. Additionally, unveiling gene-environment interactions offers a personalized approach to assessing susceptibility. These contributions not only advance our theoretical understanding of the complex interplay between environmental factors and neurodegenerative diseases but also hold practical implications for developing evidence-based public health policies aimed at reducing metal exposure and safeguarding cognitive health in aging populations.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Registered Tier","Research Team
Owner:
Khalid Khan
- Mid-career Tenured Researcher, Sam Houston State University
Fahmida Rashid
- Graduate Trainee, Sam Houston State University"
Gene-Environment Interactions in Alzheimer’s Disease,60-80% of late-onset Alzheimer’s disease (LOAD) risk is heritable. Both genetic and environmental factors are responsible for the development and progression of LOAD. Many LOAD susceptibility genes have been identified by genome-wide association studies (GWAS). While genetic factors contribute significantly…,"Scientific Questions Being Studied
60-80% of late-onset Alzheimer’s disease (LOAD) risk is heritable.  Both genetic and environmental factors are responsible for the development and progression of LOAD. Many LOAD susceptibility genes have been identified by genome-wide association studies (GWAS). While genetic factors contribute significantly to the risk of developing LOAD, the impact of environmental factors on the disease remains multifaceted. We propose a research proposal that assesses gene-environment (G×E) interactions in LOAD to analyze All of Us data. We will test these hypotheses: 1) individuals with the same or lower genetic risks will face an increased risk for LOAD when modified by higher environmental risks (vulnerability), whereas those with the same or higher genetic risks will experience a reduced risk when influenced by lower environmental risks (resilience); 2) effects of genetic risks on LOAD will vary modified by midlife and later-life environmental risks across ethnoracial groups.","Project Purpose(s)
Disease Focused Research (Alzheimer's disease)
Population Health
Social / Behavioral
Ancestry","Scientific Approaches
Polygenic risk scores (PRSs) are well-established in LOAD studies and feature an estimate of an individual’s genetic liability to LOAD by aggregating genetic effects of single-nucleotide variants (SNVs), thus serving as a comprehensive score for genetic risks. We will examine the interactions between PRSs and each of environmental risk factors in LOAD. We will also use an item response theory (IRT)-based model to generate environmental risk scores (ERSs) and investigate the interactions between PRSs and midlife/later-life ERSs in LOAD across ethnoracial groups. We will utilize the All of Us genetic data and published GWAS summary statistics to construct LOAD PRSs and construct midlife and later-life ERSs based on various environmental indicators in the All of Us data, including social of determinants of health (e.g., education and incomes), physical conditions (e.g., hypertension, diabetes, and depression), and lifestyle (e.g., smoking, alcohol, and exercise) variables.","Anticipated Findings
Overall, we will examine one-by-one G×E interactions in LOAD, but also construct comprehensive scores, PRSs and midlife/later-life ERSs, for individuals across ethnoracial groups, collectively contributing to advancing our knowledge of G×E interactions on vulnerability and resilience to LOAD. Informed by data indicating an overall risk (PRS modified by ERS) for LOAD, this approach may enable clinicians and individuals to initiate disease screening and discuss life planning strategies. This study would also provide a crucial tool for informing the design and implementation of personalized therapeutic and preventative programs, enabling more precise and individualized approaches to the treatment and prevention of LOAD. This study not only enhances our understanding of progression of LOAD but also provides a foundation for developing targeted strategies to mitigate risk and bolster resilience, thereby advancing personalized interventions for diverse populations at different life stages.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Controlled Tier","Research Team
Owner:
Xian Wu
- Research Fellow, University of Kentucky
Collaborators:
Yucong  Sang - Project Personnel, University of Kentucky
Sydney Shafer - Graduate Trainee, University of Kentucky
Noah Perry - Project Personnel, University of Kentucky
JIng Zhang - Research Fellow, University of Kentucky
Inori Tsuchiya - Project Personnel, University of Kentucky
Hady Sabra - Graduate Trainee, University of Kentucky"
Exploratory dementia analyses,"The goal of this project is to understand the risk factors underlying various forms of dementia, including Alzheimer's disease. This project will perform exploratory analyses of genetic and environmental factors that associate with risk of dementia. By better understanding these…","Scientific Questions Being Studied
The goal of this project is to understand the risk factors underlying various forms of dementia, including Alzheimer's disease. This project will perform exploratory analyses of genetic and environmental factors that associate with risk of dementia. By better understanding these risk factors, we will be able to better identify disease biomarkers and find new treatments.","Project Purpose(s)
Disease Focused Research (dementia)
Ancestry","Scientific Approaches
This study will perform genetic associations for risk of dementia. This will also include related phenotypes, such as imaging findings, blood biomarkers, and cognitive testing results. This study will also understand how genetics relates to environmental factors such as pollution in mediating risk for dementia.","Anticipated Findings
The findings of this study will identify new risk factors for development of dementia. This study will include individuals across many populations and thus represent a substantial increase in our understanding of the risk factors for dementia across diverse populations.","Demographic Categories of Interest
Race / Ethnicity
Age
Sex at Birth
Gender Identity
Sexual Orientation
Geography
Disability Status
Access to Care
Education Level
Income Level","Data Set Used
Controlled Tier","Research Team
Owner:
Michael Guo
- Research Fellow, University of Pennsylvania"
Solur research project,How does anxiety disorder affect the chances of developing Alzheimer's disease? Alzheimer's Disease is a debilitating neurodegenerative disorder affecting approximately 6 million individuals in the United States and 55 million people worldwide. Recent research has found many risk factors associated…,"Scientific Questions Being Studied
How does anxiety disorder affect the chances of developing Alzheimer's disease? Alzheimer's Disease is a debilitating neurodegenerative disorder affecting approximately 6 million individuals in the United States and 55 million people worldwide. Recent research has found many risk factors associated with the development of Alzheimer's Disease, one of them being anxiety disorder. However, the relationship between anxiety disorder and Alzheimer's Disease is still somewhat unknown. I plan to research the relationship between Alzheimer's Disease.","Project Purpose(s)
Educational","Scientific Approaches
I plan on comparing the APOE e4 gene in those with Alzheimer's disease, those with anxiety, and a control group. I will also be reviewing current research on anxiety and Alzheimer's Disease.","Anticipated Findings
I anticipate finding a connection between Alzheimer's disease and anxiety and be able to greater pinpoint why. Understanding the link between Anxiety disorder and Alzheimer’s Disease better can help future research on preventing future cases of AD, and understanding the development of AD better. Knowing you are at a greater risk of Alzheimer’s disease because of anxiety disorder may be enough for people to become proactive about their health and do things that are known to help prevent or delay the onset of AD.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Registered Tier","Research Team
Owner:
Sarah Glatz
- Undergraduate Student, Arizona State University"
Alzheimers disease polygenic score,"I intend to study how polygenic risk scores for Alzheimer's disease correlate with various wearable data, such as sleep patterns and heart rate among healthy individuals. This research is necessary because it aims to shed light on the potential early…","Scientific Questions Being Studied
I intend to study how polygenic risk scores for Alzheimer's disease correlate with various wearable data, such as sleep patterns and heart rate among healthy individuals. This research is necessary because it aims to shed light on the potential early indicators or risk factors for Alzheimer's disease before symptoms appear. By understanding how genetic predisposition interacts with lifestyle factors, we can potentially identify interventions or preventive measures to delay or mitigate the onset of Alzheimer's disease.
I am exploring the data to formalize a specific research question at this stage because I believe wearable data can provide valuable insights into the early stages of Alzheimer's disease development. The scientific question I hope to answer using the data is whether individuals with a higher polygenic risk score for Alzheimer's disease exhibit distinct sleep and heart rate patterns compared to those with a lower risk score.","Project Purpose(s)
Disease Focused Research (Alzheimer's disease)
Social / Behavioral
Ancestry","Scientific Approaches
I will select a cohort of healthy individuals with available SNP genotype or whole-genome sequence data and additional datasets such as Fitbit data,  social determinants of health, and/or Electronic Health Record (EHR) data.
I will adapt previously published Polygenic Risk Scores (PGSs)  to compute individual PGS for Alzheimer's disease by utilizing genetic data.
I will gather wearable (Fitbit) data, including but not limited to sleep patterns and heart rate. This data will provide insights into participants' daily activities and physiological parameters.
I will examine the relationship between PGS for Alzheimer's disease and wearable data. This may involve correlation analysis and regression modeling to identify patterns and associations within the data.
I will integrate EHR data into the analysis to supplement the wearable data and provide additional context and clinical information.","Anticipated Findings
1. The study may reveal correlations between polygenic risk scores for Alzheimer's disease and various wearable data such as sleep patterns and heart rate.
2. Certain patterns or changes in wearable data may emerge as potential early biomarkers for Alzheimer's disease risk.
3. The study findings could offer insights into the underlying mechanisms linking genetic predisposition to Alzheimer's disease with physiological changes captured by wearable devices.
4. By identifying potential early indicators of Alzheimer's disease risk, the study could inform the development of preventive strategies or early intervention approaches. This could ultimately lead to improved clinical management and better outcomes for individuals at risk of developing the disease.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Controlled Tier","Research Team
Owner:
Goh Savannah Ushijima Mwesigwa
- Research Fellow, University of Texas Health Science Center, Houston"
Alzheimer's Disease and Related Dementias,"To what extent does unmeasured confounding, differential survival, misclassification of exposures, enrollment, attrition, and reverse causation bias observed associations between genetic, social, and modifiable risk factors for Alzheimer's disease and related dementias (ADRD)?","Scientific Questions Being Studied
To what extent does unmeasured confounding, differential survival, misclassification of exposures, enrollment, attrition, and reverse causation bias observed associations between genetic, social, and modifiable risk factors for Alzheimer's disease and related dementias (ADRD)?","Project Purpose(s)
Methods Development","Scientific Approaches
This research will utilize pooled data from multiple cohorts, in addition to stand-alone analyses in All of Us. This is because disentangling the effects of specific factors from other risk factors and biases cannot necessarily be evaluated using a single cohort without formally examining consistencies and differences in associations across cohorts (e.g., due to selection processes), as well as individuals in different birth cohorts. We will use quantitative methods including genetic analysis and instrumental variables to evaluate misclassification and quantify bias in estimated effects on ADRD-associated outcomes.","Anticipated Findings
This study will improve the validity of lifecourse research cohorts and provide more valid and public health-relevant estimates of the effects of genetic, social and potentially modifiable determinants of ADRD. The tools will be useful to other ADRD researchers. All of Us provides an incomparable source of data because of its size, the detailed characterization of the cohort, and the heterogeneity of participants compared to the other cohorts we plan to leverage.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Controlled Tier","Research Team
Owner:
Minhyuk Choi
- Project Personnel, University of California, San Francisco
Jingxuan Wang
- Graduate Trainee, University of California, San Francisco"
Duplicate of Alzheimers_GWAS_Take5,What are the genetic determinants of Alzheimer's disease in the All of Us cohort? Can we use this data to further explain what predisposes individuals to the disease?,"Scientific Questions Being Studied
What are the genetic determinants of Alzheimer's disease in the All of Us cohort? Can we use this data to further explain what predisposes individuals to the disease?","Project Purpose(s)
Disease Focused Research (Alzheimer's disease)","Scientific Approaches
I will produce a genome wide association study using Regenie, after data curation using Plink. I will conduct this in a mixed-ancestry population to maximize initial statistical power before considering stratified analyses.","Anticipated Findings
I expect to reproduce some existing AD GWAS findings, demonstrating how they have relevance to a more diverse cohort.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Controlled Tier","Research Team
Owner:
Julian Willett
- Research Fellow, Broad Institute
Julian Willett
- Research Fellow, Mass General Brigham
Dmitry Prokopenko
- Other, Mass General Brigham
Collaborators:
Jun Qian - Other, All of Us Program Operational Use"
Sleeping Disease and Alzheimer's Disease,Alzheimer's Disease is the most common form of dementia in the United States. This study means to identify phenotypic associations between AD & SD using machine learning (ML). The objective is to identify risk factors of mid-age and aging patients…,"Scientific Questions Being Studied
Alzheimer's Disease is the most common form of dementia in the United States. This study means to identify phenotypic associations between AD & SD using machine learning (ML). The objective is to identify risk factors of mid-age and aging patients with SD to develop AD.","Project Purpose(s)
Disease Focused Research (Alzheimer's Disease)","Scientific Approaches
We will use patient data within the observation window to build prediction model. We plan to use ML models including logistic regression, decision tree, and the advanced tree-based model XGboost. Data will be split into training and testing sets. Model hyperparameters will be tuned using a cross validation strategy in the training set.","Anticipated Findings
Based on the proposed study design, we expect to identify the specific phenotypic associations between Sleep Disorders (SD) and Alzheimer's Disease (AD) through the use of Machine Learning (ML) techniques. This will involve identifying various risk factors associated with mid-aged and older patients with SD that may predispose them to developing AD. Our models should illuminate individual-level outcomes for patients with AD, drawing on a range of structured patient records including demographic details, symptom profiles, comorbid conditions, medications, and Social Determinants of Health (SDoH).  The outcomes from this study would not only deepen our understanding of the association between SD and AD but also provide practical tools and insights to help mitigate the impact of Alzheimer's disease.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Registered Tier","Research Team
Owner:
Chang Su
- Teacher/Instructor/Professor, Cornell University"
Duplicate of Alzheimer's Disease and Related Dementias 03/15 copy,"To what extent does unmeasured confounding, differential survival, misclassification of exposures, enrollment, attrition, and reverse causation bias observed associations between genetic, social, and modifiable risk factors for Alzheimer's disease and related dementias (ADRD)?","Scientific Questions Being Studied
To what extent does unmeasured confounding, differential survival, misclassification of exposures, enrollment, attrition, and reverse causation bias observed associations between genetic, social, and modifiable risk factors for Alzheimer's disease and related dementias (ADRD)?","Project Purpose(s)
Methods Development","Scientific Approaches
This research will utilize pooled data from multiple cohorts, in addition to stand-alone analyses in All of Us. This is because disentangling the effects of specific factors from other risk factors and biases cannot necessarily be evaluated using a single cohort without formally examining consistencies and differences in associations across cohorts (e.g., due to selection processes), as well as individuals in different birth cohorts. We will use quantitative methods including genetic analysis and instrumental variables to evaluate misclassification and quantify bias in estimated effects on ADRD-associated outcomes.","Anticipated Findings
This study will improve the validity of lifecourse research cohorts and provide more valid and public health-relevant estimates of the effects of genetic, social and potentially modifiable determinants of ADRD. The tools will be useful to other ADRD researchers. All of Us provides an incomparable source of data because of its size, the detailed characterization of the cohort, and the heterogeneity of participants compared to the other cohorts we plan to leverage.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Controlled Tier","Research Team
Owner:
Jingxuan Wang
- Graduate Trainee, University of California, San Francisco"
