title,main_goal_and_aims,Questions,Purpose,Approaches,Findings,Categories,DataTier,Team
Khalid Khan,My research interest lies in delving into the intricate relationship between environmental metal exposure and Alzheimer's disease (AD) and related dementias (ADRD) among the elderly population. I am driven by specific scientific questions that aim to uncover the potential links…,"Scientific Questions Being Studied
My research interest lies in delving into the intricate relationship between environmental metal exposure and Alzheimer's disease (AD) and related dementias (ADRD) among the elderly population. I am driven by specific scientific questions that aim to uncover the potential links between exposure to environmental metals and the initiation or progression of these neurodegenerative disorders. One of the central aspects of my research involves assessing the contribution of environmental metal exposure to the risk of developing AD and ADRD in the elderly. Metals such as lead, mercury, and aluminum, arsenic, copper, magnesium commonly found in the environment, have the potential to accumulate in the body over time. Understanding this association is vital for identifying preventive measures and interventions to safeguard cognitive health in aging populations.","Project Purpose(s)
Population Health
Educational","Scientific Approaches
I plan to employ a multidisciplinary approach, integrating epidemiological analysis of existing datasets on metal exposure and cognitive outcomes in the elderly. Utilizing statistical methods, I aim to identify associations and potential biomarkers indicative of neurotoxicity. Advanced imaging tools may aid in elucidating mechanisms. Overall, this research will leverage diverse datasets, statistical analyses, and cutting-edge tools to comprehensively address the intricate relationship between environmental metal exposure and Alzheimer's disease in the elderly.","Anticipated Findings
Anticipated findings from this study may unveil significant associations between environmental metal exposure and AD/ADRD, shedding light on specific metals' roles and potential biomarkers for neurotoxicity. Such findings would significantly contribute to the scientific knowledge in the field by providing a nuanced understanding of the environmental contributors to Alzheimer's disease and related dementias in the elderly. Additionally, unveiling gene-environment interactions offers a personalized approach to assessing susceptibility. These contributions not only advance our theoretical understanding of the complex interplay between environmental factors and neurodegenerative diseases but also hold practical implications for developing evidence-based public health policies aimed at reducing metal exposure and safeguarding cognitive health in aging populations.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Registered Tier","Research Team
Owner:
Khalid Khan
- Mid-career Tenured Researcher, Sam Houston State University"
Fahmida Rashid,My research interest lies in delving into the intricate relationship between environmental metal exposure and Alzheimer's disease (AD) and related dementias (ADRD) among the elderly population. I am driven by specific scientific questions that aim to uncover the potential links…,"Scientific Questions Being Studied
My research interest lies in delving into the intricate relationship between environmental metal exposure and Alzheimer's disease (AD) and related dementias (ADRD) among the elderly population. I am driven by specific scientific questions that aim to uncover the potential links between exposure to environmental metals and the initiation or progression of these neurodegenerative disorders. One of the central aspects of my research involves assessing the contribution of environmental metal exposure to the risk of developing AD and ADRD in the elderly. Metals such as lead, mercury, and aluminum, arsenic, copper, magnesium commonly found in the environment, have the potential to accumulate in the body over time. Understanding this association is vital for identifying preventive measures and interventions to safeguard cognitive health in aging populations.","Project Purpose(s)
Educational","Scientific Approaches
I plan to employ a multidisciplinary approach, integrating epidemiological analysis of existing datasets on metal exposure and cognitive outcomes in the elderly. Utilizing statistical methods, I aim to identify associations and potential biomarkers indicative of neurotoxicity. Advanced imaging tools may aid in elucidating mechanisms. Overall, this research will leverage diverse datasets, statistical analyses, and cutting-edge tools to comprehensively address the intricate relationship between environmental metal exposure and Alzheimer's disease in the elderly.","Anticipated Findings
Anticipated findings from this study may unveil significant associations between environmental metal exposure and AD/ADRD, shedding light on specific metals' roles and potential biomarkers for neurotoxicity. Such findings would significantly contribute to the scientific knowledge in the field by providing a nuanced understanding of the environmental contributors to Alzheimer's disease and related dementias in the elderly. Additionally, unveiling gene-environment interactions offers a personalized approach to assessing susceptibility. These contributions not only advance our theoretical understanding of the complex interplay between environmental factors and neurodegenerative diseases but also hold practical implications for developing evidence-based public health policies aimed at reducing metal exposure and safeguarding cognitive health in aging populations.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Registered Tier","Research Team
Owner:
Khalid Khan
- Mid-career Tenured Researcher, Sam Houston State University
Fahmida Rashid
- Graduate Trainee, Sam Houston State University"
Chronic Disease Multimorbidity,"We intend to study chronic disease multimorbidity (the presence of multiple conditions) among a diverse population of participants in the All of Us Research Program. Chronic disease is a rising contributor to mortality and morbidity, and many chronic disease risk…","Scientific Questions Being Studied
We intend to study chronic disease multimorbidity (the presence of multiple conditions) among a diverse population of participants in the All of Us Research Program. Chronic disease is a rising contributor to mortality and morbidity, and many chronic disease risk factors are modifiable. Learning how we can more effectively prevent and control chronic disease among diverse patient populations will be essential for population health improvement. We specifically plan to study the intersection between different chronic diseases, such as diabetes, cardiovascular disease, dementia, chronic lung disease, kidney disease, and other conditions that interact with one another and cause progressive disability.","Project Purpose(s)
Population Health","Scientific Approaches
We will use a combination of descriptive tools (e.g. estimating prevalence, incidence of various conditions) and modeling tools to model the accumulation of disease risk factors and mortality. Our work will be performed primarily using All of Us data with additional work performed in other population-based data sources including EHR data, UK Biobank, and other large studies.","Anticipated Findings
We anticipate that our study will document the prevalence and risk of developing various types of multimorbidity and chronic disease burden over time and will identify novel risk factors for multimorbidity which could be targeted both to improve population health and to improve health equity.","Demographic Categories of Interest
Race / Ethnicity
Age
Sex at Birth
Gender Identity
Sexual Orientation
Geography
Disability Status
Access to Care
Education Level
Income Level","Data Set Used
Controlled Tier","Research Team
Owner:
Xinyi Tan
- Graduate Trainee, Columbia University
Jay Lusk
- Research Fellow, Duke University"
Delirium Genetics,"Delirium, a severe medical condition prevalent among older patients, is often linked to various risk factors, including type 2 diabetes mellitus (DM), potentially due to shared mechanisms increasing dementia susceptibility. Intriguingly, research suggests that metformin, a medication for DM, not…","Scientific Questions Being Studied
Delirium, a severe medical condition prevalent among older patients, is often linked to various risk factors, including type 2 diabetes mellitus (DM), potentially due to shared mechanisms increasing dementia susceptibility. Intriguingly, research suggests that metformin, a medication for DM, not only extends lifespan but also reduces delirium risk in DM patients. Additionally, exploring metformin's effects on genome-wide DNA methylation have shed light on its mechanisms, including pathways related to longevity, AMPK, inflammation, and HIF-1 alpha. However, a deeper understanding of metformin's role in longevity and its impact on delirium risk is warranted. To address this gap, our study aims to investigate metformin's potential influence on delirium risk as well as mortality risk, and also investigate genetic profiles modulating such potential association by examining genome-wide genetic status in patients with and without a history of delirium.","Project Purpose(s)
Disease Focused Research (delirium)
Ancestry","Scientific Approaches
Dataset: All of Us Controlled Data v07
Tools: R
Research methods:
- Investigate the prevalence of delirium among individuals with and without a history of metformin use, stratified by the status for diabetes mellitus.
- Compare the frequency of SNP alleles related to delirium as a trait among the population first. Then we evaluate the difference of such potential association between participants who have used metformin and those who have not to investigate the potential interaction between genotype and medical use history.","Anticipated Findings
Conducting the described research study could yield several anticipated findings that can contribute significantly to the field of delirium, pharmacogenomics, and the potential interaction between medication use and genetic predispositions. Findings may reveal a lower prevalence of delirium among individuals with a history of metformin use compared to those without such a history, particularly among those with diabetes mellitus. In addition, findings might indicate a differential effect of metformin on individuals with different genetic predispositions towards delirium. Overall, the anticipated findings from this research study could enhance our understanding of the complex relationship between metformin use, genetic factors, and the pathophysiology of delirium, ultimately leading to improvements in clinical care, risk assessment, and potentially the development of targeted interventions for preventing or managing delirium in at-risk individuals.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Controlled Tier","Research Team
Owner:
yuji choi
- Project Personnel, Johns Hopkins University"
Exploratory dementia analyses,"The goal of this project is to understand the risk factors underlying various forms of dementia, including Alzheimer's disease. This project will perform exploratory analyses of genetic and environmental factors that associate with risk of dementia. By better understanding these…","Scientific Questions Being Studied
The goal of this project is to understand the risk factors underlying various forms of dementia, including Alzheimer's disease. This project will perform exploratory analyses of genetic and environmental factors that associate with risk of dementia. By better understanding these risk factors, we will be able to better identify disease biomarkers and find new treatments.","Project Purpose(s)
Disease Focused Research (dementia)
Ancestry","Scientific Approaches
This study will perform genetic associations for risk of dementia. This will also include related phenotypes, such as imaging findings, blood biomarkers, and cognitive testing results. This study will also understand how genetics relates to environmental factors such as pollution in mediating risk for dementia.","Anticipated Findings
The findings of this study will identify new risk factors for development of dementia. This study will include individuals across many populations and thus represent a substantial increase in our understanding of the risk factors for dementia across diverse populations.","Demographic Categories of Interest
Race / Ethnicity
Age
Sex at Birth
Gender Identity
Sexual Orientation
Geography
Disability Status
Access to Care
Education Level
Income Level","Data Set Used
Controlled Tier","Research Team
Owner:
Michael Guo
- Research Fellow, University of Pennsylvania"
Genetic determinants of delirium,(i) Which specific genetic variants predispose people to being more vulnerable to delirium? (ii) Which modifiable risk factors and circulating proteins affect risk of delirium? (iii) Is delirium a cause and/or consequence of dementia and frailty? Delirium is an acute…,"Scientific Questions Being Studied
(i) Which specific genetic variants predispose people to being more vulnerable to delirium?
(ii) Which modifiable risk factors and circulating proteins affect risk of delirium?
(iii) Is delirium a cause and/or consequence of dementia and frailty?
Delirium is an acute neurocognitive disorder that affects up to 50% of hospitalized patients over the age of 65. Delirium can be thought of as 'acute brain failure,' with serious consequences for patients including longer hospital stays and greater risk of cognitive and functional decline, and death. It remains unclear if delirium is an early sign of dementia/frailty or a modifiable mediator. There is a need to improve current prevention and treatment strategies, which starts with a better understanding of the underlying risk factors and biological mechanisms precipitating delirium. Genetic studies may help offer new insights into pathogenesis, help disentangle complex relationships with dementia and frailty, and uncover novel drug targets.","Project Purpose(s)
Disease Focused Research (delirium)
Drug Development
Ancestry","Scientific Approaches
First, we will characterize the association between common (MAF>0.005) genetic variants and delirium status (any history of hospitalized delirium episode) by conducting genome-wide association studies (GWAS) within each ancestry using a logistic mixed model (SAIGE) and adjusting for age, sex, and top genetic principal components. Results from ancestry-specific GWAS will be combined via meta-analysis (MANTRA and METAL). Second, using the resulting summary statistics, we will perform Mendelian Randomization (MR) analyses to identify putative mediators of delirium including (a) modifiable risk factors (e.g. physical activity) and (b) druggable circulating proteins (e.g. inflammatory cytokines). Third, MR will also be used to assess potential bidirectional relationships between delirium vs. dementia and frailty. Finally, to corroborate genes identified by GWAS, rare variant association testing will be conducted testing rare mutation burden of each gene with delirium status (SAIGE-GENE) .","Anticipated Findings
Some individuals may have more fragile vs. resilient brains as a result of genetic predisposition. For example, it is known that homozygote APOE ε4 carriers are at four-fold elevated risk of delirium but beyond the APOE locus, no other genetic variations have been consistently associated despite strong estimated heritability. Accordingly, our study will contribute to identifying novel genetic risk factors for delirium. It will also help prioritize causal modifiable risk factors to help better inform public health policies for prevention in the elderly. This study will also help better elucidate the mechanisms and specific circulating proteins mediating risk of delirium, which may lead to the development of the first effective pharmacotherapies to treat delirium. Finally, GWAS results could be operationalized into polygenic risk scores which could complement and enhance existing clinical risk prediction models for delirium by capturing an innate component of brain vulnerability.","Demographic Categories of Interest
Race / Ethnicity
Age
Geography
Disability Status
Access to Care
Education Level
Income Level","Data Set Used
Controlled Tier","Research Team
Owner:
Michael Chong
- Early Career Tenure-track Researcher, McMaster University"
"KHAN: Dementia, Alzheimer's Disease & Arsenic, Lead Blood Levels",I would like to explore the association between dementia and lead and/or arsenic exposure in the All of Us sample.,"Scientific Questions Being Studied
I would like to explore the association between dementia and lead and/or arsenic exposure in the All of Us sample.","Project Purpose(s)
Educational","Scientific Approaches
I will begin with exploratory data analysis, make adjustments as necessary, then work toward a regression.","Anticipated Findings
I expect to find a statistically significant association between lead and arsenic blood levels and dementia diagnoses.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Registered Tier","Research Team
Owner:
Scott Jones
- Other, Northwell Health
Collaborators:
Lisa Connor - Early Career Tenure-track Researcher, Sam Houston State University
Khalid Khan - Mid-career Tenured Researcher, Sam Houston State University
Fahmida Rashid - Graduate Trainee, Sam Houston State University"
Alzheimer's Disease and Related Dementias,"To what extent does unmeasured confounding, differential survival, misclassification of exposures, enrollment, attrition, and reverse causation bias observed associations between genetic, social, and modifiable risk factors for Alzheimer's disease and related dementias (ADRD)?","Scientific Questions Being Studied
To what extent does unmeasured confounding, differential survival, misclassification of exposures, enrollment, attrition, and reverse causation bias observed associations between genetic, social, and modifiable risk factors for Alzheimer's disease and related dementias (ADRD)?","Project Purpose(s)
Methods Development","Scientific Approaches
This research will utilize pooled data from multiple cohorts, in addition to stand-alone analyses in All of Us. This is because disentangling the effects of specific factors from other risk factors and biases cannot necessarily be evaluated using a single cohort without formally examining consistencies and differences in associations across cohorts (e.g., due to selection processes), as well as individuals in different birth cohorts. We will use quantitative methods including genetic analysis and instrumental variables to evaluate misclassification and quantify bias in estimated effects on ADRD-associated outcomes.","Anticipated Findings
This study will improve the validity of lifecourse research cohorts and provide more valid and public health-relevant estimates of the effects of genetic, social and potentially modifiable determinants of ADRD. The tools will be useful to other ADRD researchers. All of Us provides an incomparable source of data because of its size, the detailed characterization of the cohort, and the heterogeneity of participants compared to the other cohorts we plan to leverage.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Controlled Tier","Research Team
Owner:
Minhyuk Choi
- Project Personnel, University of California, San Francisco
Jingxuan Wang
- Graduate Trainee, University of California, San Francisco"
Sleeping Disease and Alzheimer's Disease,Alzheimer's Disease is the most common form of dementia in the United States. This study means to identify phenotypic associations between AD & SD using machine learning (ML). The objective is to identify risk factors of mid-age and aging patients…,"Scientific Questions Being Studied
Alzheimer's Disease is the most common form of dementia in the United States. This study means to identify phenotypic associations between AD & SD using machine learning (ML). The objective is to identify risk factors of mid-age and aging patients with SD to develop AD.","Project Purpose(s)
Disease Focused Research (Alzheimer's Disease)","Scientific Approaches
We will use patient data within the observation window to build prediction model. We plan to use ML models including logistic regression, decision tree, and the advanced tree-based model XGboost. Data will be split into training and testing sets. Model hyperparameters will be tuned using a cross validation strategy in the training set.","Anticipated Findings
Based on the proposed study design, we expect to identify the specific phenotypic associations between Sleep Disorders (SD) and Alzheimer's Disease (AD) through the use of Machine Learning (ML) techniques. This will involve identifying various risk factors associated with mid-aged and older patients with SD that may predispose them to developing AD. Our models should illuminate individual-level outcomes for patients with AD, drawing on a range of structured patient records including demographic details, symptom profiles, comorbid conditions, medications, and Social Determinants of Health (SDoH).  The outcomes from this study would not only deepen our understanding of the association between SD and AD but also provide practical tools and insights to help mitigate the impact of Alzheimer's disease.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Registered Tier","Research Team
Owner:
Chang Su
- Teacher/Instructor/Professor, Cornell University"
Duplicate of Alzheimer's Disease and Related Dementias 03/15 copy,"To what extent does unmeasured confounding, differential survival, misclassification of exposures, enrollment, attrition, and reverse causation bias observed associations between genetic, social, and modifiable risk factors for Alzheimer's disease and related dementias (ADRD)?","Scientific Questions Being Studied
To what extent does unmeasured confounding, differential survival, misclassification of exposures, enrollment, attrition, and reverse causation bias observed associations between genetic, social, and modifiable risk factors for Alzheimer's disease and related dementias (ADRD)?","Project Purpose(s)
Methods Development","Scientific Approaches
This research will utilize pooled data from multiple cohorts, in addition to stand-alone analyses in All of Us. This is because disentangling the effects of specific factors from other risk factors and biases cannot necessarily be evaluated using a single cohort without formally examining consistencies and differences in associations across cohorts (e.g., due to selection processes), as well as individuals in different birth cohorts. We will use quantitative methods including genetic analysis and instrumental variables to evaluate misclassification and quantify bias in estimated effects on ADRD-associated outcomes.","Anticipated Findings
This study will improve the validity of lifecourse research cohorts and provide more valid and public health-relevant estimates of the effects of genetic, social and potentially modifiable determinants of ADRD. The tools will be useful to other ADRD researchers. All of Us provides an incomparable source of data because of its size, the detailed characterization of the cohort, and the heterogeneity of participants compared to the other cohorts we plan to leverage.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Controlled Tier","Research Team
Owner:
Jingxuan Wang
- Graduate Trainee, University of California, San Francisco"
