title,main_goal_and_aims,Questions,Purpose,Approaches,Findings,Categories,DataTier,Team
Khalid Khan,My research interest lies in delving into the intricate relationship between environmental metal exposure and Alzheimer's disease (AD) and related dementias (ADRD) among the elderly population. I am driven by specific scientific questions that aim to uncover the potential links…,"Scientific Questions Being Studied
My research interest lies in delving into the intricate relationship between environmental metal exposure and Alzheimer's disease (AD) and related dementias (ADRD) among the elderly population. I am driven by specific scientific questions that aim to uncover the potential links between exposure to environmental metals and the initiation or progression of these neurodegenerative disorders. One of the central aspects of my research involves assessing the contribution of environmental metal exposure to the risk of developing AD and ADRD in the elderly. Metals such as lead, mercury, and aluminum, arsenic, copper, magnesium commonly found in the environment, have the potential to accumulate in the body over time. Understanding this association is vital for identifying preventive measures and interventions to safeguard cognitive health in aging populations.","Project Purpose(s)
Population Health
Educational","Scientific Approaches
I plan to employ a multidisciplinary approach, integrating epidemiological analysis of existing datasets on metal exposure and cognitive outcomes in the elderly. Utilizing statistical methods, I aim to identify associations and potential biomarkers indicative of neurotoxicity. Advanced imaging tools may aid in elucidating mechanisms. Overall, this research will leverage diverse datasets, statistical analyses, and cutting-edge tools to comprehensively address the intricate relationship between environmental metal exposure and Alzheimer's disease in the elderly.","Anticipated Findings
Anticipated findings from this study may unveil significant associations between environmental metal exposure and AD/ADRD, shedding light on specific metals' roles and potential biomarkers for neurotoxicity. Such findings would significantly contribute to the scientific knowledge in the field by providing a nuanced understanding of the environmental contributors to Alzheimer's disease and related dementias in the elderly. Additionally, unveiling gene-environment interactions offers a personalized approach to assessing susceptibility. These contributions not only advance our theoretical understanding of the complex interplay between environmental factors and neurodegenerative diseases but also hold practical implications for developing evidence-based public health policies aimed at reducing metal exposure and safeguarding cognitive health in aging populations.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Registered Tier","Research Team
Owner:
Khalid Khan
- Mid-career Tenured Researcher, Sam Houston State University"
Fahmida Rashid,My research interest lies in delving into the intricate relationship between environmental metal exposure and Alzheimer's disease (AD) and related dementias (ADRD) among the elderly population. I am driven by specific scientific questions that aim to uncover the potential links…,"Scientific Questions Being Studied
My research interest lies in delving into the intricate relationship between environmental metal exposure and Alzheimer's disease (AD) and related dementias (ADRD) among the elderly population. I am driven by specific scientific questions that aim to uncover the potential links between exposure to environmental metals and the initiation or progression of these neurodegenerative disorders. One of the central aspects of my research involves assessing the contribution of environmental metal exposure to the risk of developing AD and ADRD in the elderly. Metals such as lead, mercury, and aluminum, arsenic, copper, magnesium commonly found in the environment, have the potential to accumulate in the body over time. Understanding this association is vital for identifying preventive measures and interventions to safeguard cognitive health in aging populations.","Project Purpose(s)
Educational","Scientific Approaches
I plan to employ a multidisciplinary approach, integrating epidemiological analysis of existing datasets on metal exposure and cognitive outcomes in the elderly. Utilizing statistical methods, I aim to identify associations and potential biomarkers indicative of neurotoxicity. Advanced imaging tools may aid in elucidating mechanisms. Overall, this research will leverage diverse datasets, statistical analyses, and cutting-edge tools to comprehensively address the intricate relationship between environmental metal exposure and Alzheimer's disease in the elderly.","Anticipated Findings
Anticipated findings from this study may unveil significant associations between environmental metal exposure and AD/ADRD, shedding light on specific metals' roles and potential biomarkers for neurotoxicity. Such findings would significantly contribute to the scientific knowledge in the field by providing a nuanced understanding of the environmental contributors to Alzheimer's disease and related dementias in the elderly. Additionally, unveiling gene-environment interactions offers a personalized approach to assessing susceptibility. These contributions not only advance our theoretical understanding of the complex interplay between environmental factors and neurodegenerative diseases but also hold practical implications for developing evidence-based public health policies aimed at reducing metal exposure and safeguarding cognitive health in aging populations.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Registered Tier","Research Team
Owner:
Fahmida Rashid
- Graduate Trainee, Sam Houston State University
Khalid Khan
- Mid-career Tenured Researcher, Sam Houston State University"
Alzheimer's Disease and Related Dementias,"To what extent does unmeasured confounding, differential survival, misclassification of exposures, enrollment, attrition, and reverse causation bias observed associations between genetic, social, and modifiable risk factors for Alzheimer's disease and related dementias (ADRD)?","Scientific Questions Being Studied
To what extent does unmeasured confounding, differential survival, misclassification of exposures, enrollment, attrition, and reverse causation bias observed associations between genetic, social, and modifiable risk factors for Alzheimer's disease and related dementias (ADRD)?","Project Purpose(s)
Methods Development","Scientific Approaches
This research will utilize pooled data from multiple cohorts, in addition to stand-alone analyses in All of Us. This is because disentangling the effects of specific factors from other risk factors and biases cannot necessarily be evaluated using a single cohort without formally examining consistencies and differences in associations across cohorts (e.g., due to selection processes), as well as individuals in different birth cohorts. We will use quantitative methods including genetic analysis and instrumental variables to evaluate misclassification and quantify bias in estimated effects on ADRD-associated outcomes.","Anticipated Findings
This study will improve the validity of lifecourse research cohorts and provide more valid and public health-relevant estimates of the effects of genetic, social and potentially modifiable determinants of ADRD. The tools will be useful to other ADRD researchers. All of Us provides an incomparable source of data because of its size, the detailed characterization of the cohort, and the heterogeneity of participants compared to the other cohorts we plan to leverage.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Controlled Tier","Research Team
Owner:
Jingxuan Wang
- Graduate Trainee, University of California, San Francisco
Minhyuk Choi
- Project Personnel, University of California, San Francisco"
Duplicate of Alzheimer's Disease and Related Dementias 03/15 copy,"To what extent does unmeasured confounding, differential survival, misclassification of exposures, enrollment, attrition, and reverse causation bias observed associations between genetic, social, and modifiable risk factors for Alzheimer's disease and related dementias (ADRD)?","Scientific Questions Being Studied
To what extent does unmeasured confounding, differential survival, misclassification of exposures, enrollment, attrition, and reverse causation bias observed associations between genetic, social, and modifiable risk factors for Alzheimer's disease and related dementias (ADRD)?","Project Purpose(s)
Methods Development","Scientific Approaches
This research will utilize pooled data from multiple cohorts, in addition to stand-alone analyses in All of Us. This is because disentangling the effects of specific factors from other risk factors and biases cannot necessarily be evaluated using a single cohort without formally examining consistencies and differences in associations across cohorts (e.g., due to selection processes), as well as individuals in different birth cohorts. We will use quantitative methods including genetic analysis and instrumental variables to evaluate misclassification and quantify bias in estimated effects on ADRD-associated outcomes.","Anticipated Findings
This study will improve the validity of lifecourse research cohorts and provide more valid and public health-relevant estimates of the effects of genetic, social and potentially modifiable determinants of ADRD. The tools will be useful to other ADRD researchers. All of Us provides an incomparable source of data because of its size, the detailed characterization of the cohort, and the heterogeneity of participants compared to the other cohorts we plan to leverage.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Controlled Tier","Research Team
Owner:
Jingxuan Wang
- Graduate Trainee, University of California, San Francisco"
Genetic Analysis,1. Understanding Genetic Risk Factors: Investigating the association between the APOE gene and ADRD is crucial for understanding the genetic risk factors contributing to the development of Alzheimer's disease and related dementias. APOE is one of the most widely studied…,"Scientific Questions Being Studied
1. Understanding Genetic Risk Factors: Investigating the association between the APOE gene and ADRD is crucial for understanding the genetic risk factors contributing to the development of Alzheimer's disease and related dementias. APOE is one of the most widely studied genetic risk factors for late-onset Alzheimer's disease.
2. Clinical Implications: Identifying genetic markers associated with ADRD can have significant clinical implications. It can aid in early diagnosis, risk assessment, and personalized treatment approaches. Understanding the strength of the association can help in determining the relative risk conferred by specific APOE alleles.","Project Purpose(s)
Ancestry","Scientific Approaches
1. Data Collection and Datasets:Access population-based cohort studies with longitudinal data to assess the relationship between APOE genotype and the development of ADRD over time. 2. Genetic Analysis: Conduct genetic association analyses to assess the association between APOE genotype and ADRD risk. 3. Statistical Modeling.","Anticipated Findings
1. Significant Association: The study may reveal a statistically significant association between specific variants of the APOE gene (e.g., ε4 allele) and an increased risk of developing ADRD. This finding would corroborate previous research highlighting APOE as a major genetic risk factor for late-onset Alzheimer's disease and potentially for other related dementias as well.
2. Allelic Effects: There may be differences in the strength of the association between different APOE alleles (e.g., ε2, ε3, ε4) and ADRD risk. For instance, individuals carrying the ε4 allele may exhibit a higher risk compared to those with ε3 or ε2 alleles, with ε2 potentially being protective against ADRD.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Controlled Tier","Research Team
Owner:
Yu Hou
- Early Career Tenure-track Researcher, University of Minnesota"
HeartAndBrainGenetics,In an aging population cardiovascular disease (CVD) is a major public health issues and people at risk of or with established CVD often develop early cognitive decline. This may progress towards dementias such as Alzheimer’s disease or vascular dementia. Both…,"Scientific Questions Being Studied
In an aging population cardiovascular disease (CVD) is a major public health issues and people at risk of or with established CVD often develop early cognitive decline. This may progress towards dementias such as Alzheimer’s disease or vascular dementia. Both dementia and CVD, share a number of key risk factors such elevated blood pressure regulation, dyslipidemia, atherosclerosis, and dysregulated glucose metabolism. All of these risk factors have known genetic determinants, which may differ across ancestry groups. We will explore to what extent there is a shared genetic basis for the cooccurrence of heart and brain disease, and whether this persists across ancestries.","Project Purpose(s)
Disease Focused Research (dementia, cardiovascular disease)
Ancestry","Scientific Approaches
We will conduct ancestry specific genome-wide association studies of heart and brain traits, and apply genetic colocalization to identify genetic mutations which may be a common cause of these diseases. We will consider straightforward case control analyses, as well as analyses accounting for age of onset, and disease trajectories considering the order of events. We will not exclude individuals based on sex, race, or ancestry, and rather determine consistence across these subgroups.","Anticipated Findings
We hope to identify genetic loci associating with heart and brain traits, aiming to uncover potential novel biological pathways which may put people at risk of early worsening of heart and brain health. Knowledge on common biological pathways is important to better target, and potentially repurposing, existing therapeutics or life-style intervention, as well as the development of novel interventions.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Controlled Tier","Research Team
Owner:
Marion van Vugt
- Research Fellow, Amsterdam University Medical Center"
Fitbit investigation,"We are interested in the link between sleep health and neurodegenerative diseases like Alzheimer's disease and related dementias (ADRD) and Parkinson's disease (PD). While polysomnography (PSG; the traditional in-lab sleep study) is generally considered the ""gold-standard"" of sleep measurement, in-lab…","Scientific Questions Being Studied
We are interested in the link between sleep health and neurodegenerative diseases like Alzheimer's disease and related dementias (ADRD) and Parkinson's disease (PD). While polysomnography (PSG; the traditional in-lab sleep study) is generally considered the ""gold-standard"" of sleep measurement, in-lab sleep measurement can have high costs, be time-consuming and labor-intensive, and may not always reflect in-home sleep habits. The All of Us dataset provides a valuable opportunity to investigate in-home sleep measurement using wearable technology (Fitbit). This allows investigators like ourselves to examine real-world sleep health in a large, diverse cohort of individuals. By doing so, we hope to add to the current understanding of how sleep health relates to neurodegenerative diseases, and how this link may differ across populations.","Project Purpose(s)
Population Health","Scientific Approaches
We plan to use the Fitbit data in order to investigate sleep health/sleep habits in the cohort. We will also be using EHR data in order to examine prevalence and incidence of diseases, with a particular focus on neurodegenerative diseases. We will also be using demographic data with the goal of understanding the cohort and of identifying differences between populations in the link between sleep and neurodegeneration. We will likely be testing for associations between Fitbit-measured sleep health and neurodegenerative disease prevalence and incidence.","Anticipated Findings
A large body of research has identified a link between sleep disturbances and neurodegenerative disease. We anticipate that this link will be present in the All of Us cohort in some capacity. However, it is unclear whether this connection will differ between populations. Our findings will (1) add to the current understanding of the link between sleep health and neurodegeneration, possibly contributing to the development of novel screening and risk prediction methods, and (2) will demonstrate the power of wearable technology in revolutionizing sleep measurement and sleep research.","Demographic Categories of Interest
Race / Ethnicity
Age","Data Set Used
Controlled Tier","Research Team
Owner:
Sasha Milton
- Project Personnel, University of California, San Francisco"
NDD-NDG0,"We are investigating whether persons with neurodevelopmental disorders (autism, ADHD, intellectual disability) may be at greater risk for neurodegenerative disorders (Alzheimer's disease or related dementias, Parkinson's disease, ALS).","Scientific Questions Being Studied
We are investigating whether persons with neurodevelopmental disorders (autism, ADHD, intellectual disability) may be at greater risk for neurodegenerative disorders (Alzheimer's disease or related dementias, Parkinson's disease, ALS).","Project Purpose(s)
Disease Focused Research (Neurodegenerative disorders)","Scientific Approaches
We will utilize a case-control study design to investigate the association of neurodevelopmental disorders with neurodegenerative disorders.","Anticipated Findings
We will describe the associations of neurodevelopmental disorders with neurodegenerative disorders. These associations have been not well-studied, and thus our findings will meaningfully contribute to the existing body of knowledge.","Demographic Categories of Interest
Age
Disability Status","Data Set Used
Registered Tier","Research Team
Owner:
Brian Lee
- Mid-career Tenured Researcher, Drexel University"
Pascoal Lab,The specific scientific questions we intend to study are: 1. Can we predict the onset of Alzheimer’s Disease and related dementias (ADRD) using machine learning methods applied to electronic health records (EHRs)? 2. What are the major risk factors contributing…,"Scientific Questions Being Studied
The specific scientific questions we intend to study are:
1.	Can we predict the onset of Alzheimer’s Disease and related dementias (ADRD) using machine learning methods applied to electronic health records (EHRs)?
2.	What are the major risk factors contributing to the development of ADRD?
3.	Are there identifiable subtypes of ADRD based on cognitive and neuropsychiatric symptoms, and what are their distinct features?
4.	How do different subtypes of ADRD progress in terms of disease trajectory, and what is the comparative decline among these subtypes?
5.	Can a software tool be developed to predict ADRD and assist clinicians in identifying high-risk patients, improving care and outcomes?
The importance of these questions lies in the potential for early detection and intervention in ADRD, which could significantly alter the disease's impact on patients and the healthcare system.","Project Purpose(s)
Disease Focused Research (Alzheimer's disease)","Scientific Approaches
We will apply machine learning to electronic health records (EHRs) for early prediction of Alzheimer's Disease and related dementias (ADRD), identifying risk factors and subtypes, analyzing disease trajectories, and developing a predictive tool for clinical use.
Datasets: Longitudinal EHR data encompassing demographics, diagnostics, lab results, medications, and clinical notes.
Methods:
•	Predictive Modeling: We'll use algorithms like random forests and neural networks for predicting ADRD onset.
•	Feature Importance: To pinpoint risk factors, methods such as permutation importance will be applied.
•	Clustering: Algorithms like k-means will classify subtypes based on symptoms.
•	Trajectory Analysis: Comparative analysis of cognitive decline across subtypes using time-series methods.
Tools:
•	Data Processing: Python and R.
•	ML Frameworks: scikit-learn, TensorFlow, PyTorch.
•	Visualization: Matplotlib, Seaborn, PowerBI.
•	Software Development: Python.","Anticipated Findings
The anticipated findings from the study include:
1. A set of predictive markers for ADRD onset derived from EHRs.
2. Identification of major risk factors for ADRD.
3. Distinct subtypes of ADRD based on cognitive and neuropsychiatric symptoms.
4. Differential progression trajectories for each ADRD subtype.
5. A validated software tool that predicts ADRD risk and aids clinical decision-making.
These findings could contribute to the field by:
1. Enhancing early detection capabilities for ADRD, potentially leading to earlier interventions.
2. Providing a deeper understanding of the risk factors, which could inform preventative strategies.
3. Revealing the heterogeneity within ADRD, allowing for more personalized treatment approaches.
4. Offering insights into the progression of ADRD, aiding in the prediction of patient needs.
5. Delivering a practical tool for healthcare professionals, integrating data-driven insights directly into clinical workflows, which may improve patient outcomes.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Controlled Tier","Research Team
Owner:
Tharick Pascoal
- Early Career Tenure-track Researcher, University of Pittsburgh"
Alzheimer's Disease,Alzheimer's disease (AD) represents a complex spectrum of neurodegenerative disorders characterized by symptoms ranging from short-term memory lapses to the gradual loss of bodily functions leading to eventual demise. This condition significantly diminishes the quality of life for the affected…,"Scientific Questions Being Studied
Alzheimer's disease (AD) represents a complex spectrum of neurodegenerative disorders characterized by symptoms ranging from short-term memory lapses to the gradual loss of bodily functions leading to eventual demise. This condition significantly diminishes the quality of life for the affected older population. The widespread adoption and continual enhancement of electronic health record (EHR) systems in the U.S have resulted in the accumulation of extensive longitudinal EHR datasets, providing valuable resources for clinical research. Numerous risk factors associated with AD, such as hypertension and high cholesterol, are routinely documented in patients' EHRs. This study endeavors to leverage machine learning (ML) techniques to facilitate the early prediction of Alzheimer's disease and related dementias. The focus is on utilizing real-world electronic health records (EHRs) to enhance our understanding and prediction capabilities in the realm of neurodegenerative disorders.","Project Purpose(s)
Disease Focused Research (Alzheimer's disease)
Methods Development","Scientific Approaches
Predicting Alzheimer's disease (AD) at an early stage poses a formidable challenge due to the involvement of multiple intricate mechanisms in its pathogenesis. Our research aims to delve into diverse patient cohorts with AD, utilizing extracted features and exploring feature selection through both knowledge-driven and data-driven approaches. We seek to unravel the prediction variances across different cohorts and prediction windows while assessing the significance of distinct features within each cohort using SHAP values.","Anticipated Findings
The ultimate goal of our study is to develop prediction models that can effectively identify individuals at a heightened risk of AD before its onset. These models not only pinpoint crucial factors for early prediction and prevention but also contribute to understanding why specific risk factors hold significance. Furthermore, they play a pivotal role in guiding research directions and facilitating the recruitment of individuals in the early stages of probable AD for inclusion in clinical trials.","Demographic Categories of Interest
Age
Disability Status","Data Set Used
Controlled Tier","Research Team
Owner:
Mengliang Zhang
- Graduate Trainee, University of Texas at Arlington"
