title,main_goal_and_aims,Questions,Purpose,Approaches,Findings,Categories,DataTier,Team
T2D Risk Stratification,"Type 2 diabetes risk stratification using genetic ancestry, SIRE and polygenic risk scores. Our hypothesis is that adding polygenic risk scores will increase the accuracy of prediction of type 2 diabetes.","Scientific Questions Being Studied
Type 2 diabetes risk stratification using genetic ancestry, SIRE and polygenic risk scores. Our hypothesis is that adding polygenic risk scores will increase the accuracy of prediction of type 2 diabetes.","Project Purpose(s)
Disease Focused Research (type 2 diabetes mellitus)
Population Health
Ancestry","Scientific Approaches
1. Polygenic risk score calculation using PRSice-2
2. Genetic ancestry calculation using Rye
3. Logistic regression for modelling","Anticipated Findings
Our hypothesis is that adding polygenic risk scores will increase the accuracy of prediction of type 2 diabetes.","Demographic Categories of Interest
Race / Ethnicity","Data Set Used
Controlled Tier","Research Team
Owner:
Sonali Gupta
- Research Assistant, National Institutes of Health (NIH)
Collaborators:
Shivam Sharma - Graduate Trainee, Georgia Institute of Technology
Onyinye Chukka - Graduate Trainee, Georgia Institute of Technology
Jay Menuey - Graduate Trainee, Georgia Institute of Technology"
Pre_DM_CVD,"This project aims to investigate the risk of developing cardiovascular disease (CVD) among people with pre-diabetes, including myocardial infarction, congestive heart failure, stroke, and CVD mortality. Around 90 million individuals in the US are living with pre-diabetes. Quantifying the CVD…","Scientific Questions Being Studied
This project aims to investigate the risk of developing cardiovascular disease (CVD) among people with pre-diabetes, including myocardial infarction, congestive heart failure, stroke, and CVD mortality. Around 90 million individuals in the US are living with pre-diabetes. Quantifying the CVD risk in this population could inform public health policy-making in this population.","Project Purpose(s)
Disease Focused Research (Pre-diabetes)","Scientific Approaches
We will include people with pre-diabetes, defined as HbA1c between 5.7%-6.4% and fasting blood glucose between 100mg/dL to 125mg/dL.
First, we will use machine learning algorithms to identify factors impacting the onset of these CVD events.
Second, we will use survival models to develop prediction equations for these conditions.","Anticipated Findings
We plan to develop prediction equations for each of the CVD events mentioned above in people diagnosed with pre-diabetes.
These equations could be used for simulation studies, such as program evaluation and trial emulation.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Controlled Tier","Research Team
Owner:
Dawei  Guan
- Graduate Trainee, University of Florida"
GW Capstone Diabetes Project,"Type 2 Diabetes Mellitus (T2DM) is a chronic metabolic disorder characterized by insulin resistance and relative insulin deficiency, resulting in hyperglycemia. It represents a significant public health challenge globally, with its prevalence steadily rising due to factors such as aging…","Scientific Questions Being Studied
Type 2 Diabetes Mellitus (T2DM) is a chronic metabolic disorder characterized by
insulin resistance and relative insulin deficiency, resulting in hyperglycemia. It represents a
significant public health challenge globally, with its prevalence steadily rising due to factors such
as aging populations, sedentary lifestyles, and increasing rates of obesity. Effective management
of T2DM is multifaceted, involving medical interventions, lifestyle modifications, and patient
education to achieve optimal glycemic control and prevent complications. Pharmacological
interventions, such as medications, play a crucial role in T2DM management, aiming to improve
insulin sensitivity, enhance insulin secretion, and regulate blood glucose levels..","Project Purpose(s)
Educational","Scientific Approaches
Type 2 Diabetes Mellitus (T2DM) is a chronic metabolic disorder characterized by
insulin resistance and relative insulin deficiency, resulting in hyperglycemia. It represents a
significant public health challenge globally, with its prevalence steadily rising due to factors such
as aging populations, sedentary lifestyles, and increasing rates of obesity. Effective management
of T2DM is multifaceted, involving medical interventions, lifestyle modifications, and patient
education to achieve optimal glycemic control and prevent complications. Pharmacological
interventions, such as medications, play a crucial role in T2DM management, aiming to improve
insulin sensitivity, enhance insulin secretion, and regulate blood glucose levels.","Anticipated Findings
Type 2 Diabetes Mellitus (T2DM) is a chronic metabolic disorder characterized by
insulin resistance and relative insulin deficiency, resulting in hyperglycemia. It represents a
significant public health challenge globally, with its prevalence steadily rising due to factors such
as aging populations, sedentary lifestyles, and increasing rates of obesity. Effective management
of T2DM is multifaceted, involving medical interventions, lifestyle modifications, and patient
education to achieve optimal glycemic control and prevent complications. Pharmacological
interventions, such as medications, play a crucial role in T2DM management, aiming to improve
insulin sensitivity, enhance insulin secretion, and regulate blood glucose levels.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Registered Tier","Research Team
Owner:
Gracia Kayembe
- Graduate Trainee, George Washington University"
Metabolic Syndrome and Eye Disease,"We want to determine the association between Metabolic Syndrome and vision-threatening eye disease. Metabolic syndrome is a cluster of conditions, that if occurring together, increase risk for heart disease, stroke, and type 2 diabetes. We aim to determine how this…","Scientific Questions Being Studied
We want to determine the association between Metabolic Syndrome and vision-threatening eye disease. Metabolic syndrome is a cluster of conditions, that if occurring together, increase risk for heart disease, stroke, and type 2 diabetes. We aim to determine how this cluster of conditions might be impact eye disease.","Project Purpose(s)
Disease Focused Research (metabolic syndrome X)","Scientific Approaches
We plan to create cohorts that will allow us to determine the association between MetS and eye diseases like wet AMD. Depending on the associations found, we might perform subgroup analysis to determine the combined influence of other factors.","Anticipated Findings
There has been an association shown between MetS and eye disease risk. However, there is limited research with a data set this large. We do expect to find some association, but hope that the data from this database will allow more detailed conclusions.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Registered Tier","Research Team
Owner:
Jaffer Shah
- Project Personnel, Cornell University
Carla Dias
- Graduate Trainee, Cornell University"
CHD-DM,To identify biomarkers of congenital heart diseases and diabetes through next generation sequencing data. Discover novel drug for congenital heart diseases and diabetes intervention.,"Scientific Questions Being Studied
To identify biomarkers of congenital heart diseases and diabetes through next generation sequencing data. Discover novel drug for congenital heart diseases and diabetes intervention.","Project Purpose(s)
Disease Focused Research (congenital heart defects and diabetes)
Population Health
Social / Behavioral
Educational
Drug Development
Methods Development
Control Set
Ancestry","Scientific Approaches
Using advantage method such as machine learning, deep learning and other bioinformatics techniques to identify hub genes and pathways to more understanding diseases mechanisms.","Anticipated Findings
This study will predict novel biomarker related to congenital heart diseases and diabetes through genetic analysis such germline mutations. Explore these potential pathway-based on hub genes were identified.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Controlled Tier","Research Team
Owner:
BA THONG NGUYEN
- Research Fellow, University of Hawaii at Manoa"
CHD,Discover novel biomarkers related to congenital heart diseases. To identify immune markers and other hub genes related to congenital heart diseases and diabetes. Explore potential genetic variants such as the germline mutation from next generation sequencing.,"Scientific Questions Being Studied
Discover novel biomarkers related to congenital heart diseases. To identify immune markers and other hub genes related to congenital heart diseases and diabetes. Explore potential genetic variants such as the germline mutation from next generation sequencing.","Project Purpose(s)
Disease Focused Research (congenital heart defects and diabetes)
Educational
Drug Development
Methods Development
Control Set
Ancestry","Scientific Approaches
Using advanced technology such as machine learning, deep learning and other bioinformatics to explore hub genes and regulators from next generation sequencing databases (WGS, WES, RNA....)","Anticipated Findings
We will show up the novel biomarkers such genes, proteins and their regulators, novel pathways related to congenital heart diseases. The novel drugs and related mechanism were explored.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Registered Tier","Research Team
Owner:
BA THONG NGUYEN
- Research Fellow, University of Hawaii at Manoa"
Duplicate of CAD and Dental Health,In this project we would like to explore risk factors and associations between dental caries and Coronary Artery Disease (CAD) and identify genetic factors that are associated with both. We hypothesize that dental caries is associated with higher CAC scores…,"Scientific Questions Being Studied
In this project we would like to explore risk factors and associations between dental caries and Coronary Artery Disease (CAD) and identify genetic factors that are associated with both. We hypothesize that dental caries is associated with higher CAC scores in the presence of caries that we plan to test via regression models, adjusting for age, sex, diabetes, ancestry, social determinants of health, and smoking habits.  As well, we will perform a phenome-wide genome-wide association study (PheGWAS) focusing on oral infectious diseases and CAC.","Project Purpose(s)
Disease Focused Research (CAD and caries)
Ancestry
Ethical, Legal, and Social Implications (ELSI)","Scientific Approaches
We will start by exploring data using statistical methods to define our cohort. We will then build logistic regression models to find whether there is an association between CAD and caries. After that, we will look into CAC levels and conduct GWAS analysis to find common genetic variants.
Methods to be used: descriptive statistics, regression models, GWAS","Anticipated Findings
Coronary artery disease (CAD) is the leading cause of mortality in the United States. CAD is a chronic condition characterized by lipids, glycocomponents, and calcium depositions that thicken the walls of the arteries that supply blood to the heart, that leads to atherosclerotic plaque buildup. Different CAD risk factors have been established, including lifestyle and genetic markers. Poor periodontal health has been reported as associated with CAD but not as much is known about the association between CAD and dental caries and additional quantitative markers of poor oral health. Identifying the link between these oral conditions and CAD may accelerate novel strategies to improve CAD prevention and outcomes.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Controlled Tier","Research Team
Owner:
Alexis Cenname
- Graduate Trainee, University of Pittsburgh"
T2D Diabetes Disparities Research,We hope to answer the specific question of: what factors affect healthcare accessibility for type 2 diabetes patients?,"Scientific Questions Being Studied
We hope to answer the specific question of:  what factors affect healthcare accessibility for type 2 diabetes patients?","Project Purpose(s)
Disease Focused Research (type 2 diabetes mellitus)
Social / Behavioral","Scientific Approaches
We plan to use the survey and EHR data available to quantitatively model disparities to access to certain medications and, in general, treatment for type 2 diabetes.","Anticipated Findings
We anticipate to be able to assess the disparities that type 2 diabetes patients face, and hopefully be able to provide evidence for novel social safety programs for type 2 diabetes patients.","Demographic Categories of Interest
Access to Care","Data Set Used
Controlled Tier","Research Team
Owner:
José Irizarry
- Graduate Trainee, Tulane University"
Osteoporosis+Dementia,"What is the prevalence of diabetes in patients with osteoporosis, and what are the potential mechanisms behind the association?","Scientific Questions Being Studied
What is the prevalence of diabetes in patients with osteoporosis, and what are the potential mechanisms behind the association?","Project Purpose(s)
Disease Focused Research (osteoporosis)","Scientific Approaches
The scientific approach could include a retrospective cohort study using health databases to identify osteoporosis patients and track the incidence of diabetes. Statistical methods like logistic regression could be used to analyze the data, adjusting for potential confounders. Tools could include data analysis software such as R or Python.","Anticipated Findings
Anticipated findings might reveal a higher prevalence of diabetes in Osteoporosis patients compared to the general population. Such results could contribute to the understanding of the metabolic processes involved in osteoporosis and DM, potentially leading to targeted therapies or preventive measures for at-risk populations.","Demographic Categories of Interest
Race / Ethnicity
Age
Sex at Birth
Gender Identity
Sexual Orientation
Geography
Disability Status
Access to Care
Education Level
Income Level","Data Set Used
Controlled Tier","Research Team
Owner:
Chenyu Huang
- Graduate Trainee, University of California, Irvine"
CAD and Dental Health,In this project we would like to explore risk factors and associations between dental caries and Coronary Artery Disease (CAD) and identify genetic factors that are associated with both. We hypothesize that dental caries is associated with higher CAC scores…,"Scientific Questions Being Studied
In this project we would like to explore risk factors and associations between dental caries and Coronary Artery Disease (CAD) and identify genetic factors that are associated with both. We hypothesize that dental caries is associated with higher CAC scores in the presence of caries that we plan to test via regression models, adjusting for age, sex, diabetes, ancestry, social determinants of health, and smoking habits.  As well, we will perform a phenome-wide genome-wide association study (PheGWAS) focusing on oral infectious diseases and CAC.","Project Purpose(s)
Disease Focused Research (CAD and caries)
Ancestry
Ethical, Legal, and Social Implications (ELSI)","Scientific Approaches
We will start by exploring data using statistical methods to define our cohort. We will then build logistic regression models to find whether there is an association between CAD and caries. After that, we will look into CAC levels and conduct GWAS analysis to find common genetic variants.
Methods to be used: descriptive statistics, regression models, GWAS","Anticipated Findings
Coronary artery disease (CAD) is the leading cause of mortality in the United States. CAD is a chronic condition characterized by lipids, glycocomponents, and calcium depositions that thicken the walls of the arteries that supply blood to the heart, that leads to atherosclerotic plaque buildup. Different CAD risk factors have been established, including lifestyle and genetic markers. Poor periodontal health has been reported as associated with CAD but not as much is known about the association between CAD and dental caries and additional quantitative markers of poor oral health. Identifying the link between these oral conditions and CAD may accelerate novel strategies to improve CAD prevention and outcomes.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Controlled Tier","Research Team
Owner:
Olga Kravchenko
- Research Fellow, University of Pittsburgh
Collaborators:
Ansuman Chattopadhyay - Project Personnel, University of Pittsburgh
Alexis Cenname - Graduate Trainee, University of Pittsburgh"
