title,main_goal_and_aims,Questions,Purpose,Approaches,Findings,Categories,DataTier,Team,combined_text,Extracted Team Info
Genetic analysis for complex skin conditions,Main goal: To develop an effective approach to identify unique genetic and clinical profiles for characterizing different skin conditions. Aim 1: Catalog the molecular/biomedical information available on skin diseases and then investigate its potential for understanding the impact of diseases…,"Scientific Questions Being Studied
Main goal: To develop an effective approach to identify unique genetic and clinical profiles for characterizing different skin conditions.
Aim 1: Catalog the molecular/biomedical information available on skin diseases and then investigate its potential for understanding the impact of diseases in terms of their environmental factors, comorbidities, drug prescriptions, mental health and mobility.
Aim 2: Identifying the unique genetic determinants of skin diseases and their prognosis by comparing the alleles for genetic markers in these patients with controls. Understanding how these unique determinants are shared with other human disorders.","Project Purpose(s)
Disease Focused Research (skin disease)","Scientific Approaches
Although epidemiological and genetic studies have been conducted to reveal distinct clinical and molecular features for different skin conditions (psoriasis, atopic dermatitis, etc.), the identification of shared and unique disease components has been challenged by the lack of large population-based studies. Over the past five years, large biobanks are being established, which instead of focusing on a specific disease, invest vast effort to collect detailed clinical and molecular information from the general population. These population-level biobanks can significantly extend the application and translation of findings by providing resources to unravel the factors shaping the diversity of different disease conditions. The patients in the Biobank with a wide range of skin diseases and the diverse range of information provided will be useful for understanding the overall burden of cutaneous disorders.","Anticipated Findings
Our aim is to provide detailed population characteristics for skin diseases in the Biobank, along with information about newly identified environmental factors and genetic risk variants. We will share our findings with the research community through publications and in open-source platform.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Controlled Tier","Research Team
Owner:
Ruiwen Zhou
- Graduate Trainee, University of Michigan
Matthew Patrick
- Research Fellow, University of Michigan
Collaborators:
Alex Lam Tsoi - Early Career Tenure-track Researcher, University of Michigan",Genetic analysis for complex skin conditions Main goal: To develop an effective approach to identify unique genetic and clinical profiles for characterizing different skin conditions. Aim 1: Catalog the molecular/biomedical information available on skin diseases and then investigate its potential for understanding the impact of diseases…,"1. [""Owner"", ""Graduate Trainee"", ""Research Fellow"", ""Early Career Tenure-track Researcher""]
2. [""Ruiwen Zhou"", ""Matthew Patrick"", ""Alex Lam Tsoi""]
3. [""University of Michigan"", ""University of Michigan"", ""University of Michigan""]"
Genomic association and risk prediction of mental health conditions Phase3,"Genome-wide association studies of mental health conditions have identified variants that contribute to a small portion of the total disorder variance. While these data have been useful in identifying novel genetic associations, in large part these data have not been…","Scientific Questions Being Studied
Genome-wide association studies of mental health conditions have identified variants that contribute to a small portion of the total disorder variance. While these data have been useful in identifying novel genetic associations, in large part these data have not been used predict risk of disease. Our hope is to leverage the All of Us data to estimate disease effect estimates for multiple mental health conditions in diverse populations. Specific questions include: (1) what are the most significant non-genetic and genetic factors in association with serious mental illnesses? (2) How can we combine both clinical risk factors and genomic risk scores to predict mental health conditions? We hypothesize that a risk model incorporating both non-genetic and genetic factors will have better power to explain and predict mental health conditions. This study will develop and evaluate end-to-end predictive models for mental health phenotype in diverse groups.  Phase-3 will focus on HLA region.","Project Purpose(s)
Disease Focused Research (Serious mental illness and suicide)
Population Health
Social / Behavioral
Methods Development
Ancestry","Scientific Approaches
We will cover all eligible participants with different background in All of Us. First, self-reported surveys (e.g., lifestyle and medical history) and electronic health records (EHR) will be used to determine serious mental illness cases and their matched controls. Exposure variables will be assessed and harmonized across resources; and pre-processed for missing value and outliers. Second, disease risk factors will then be interrogated by regularized regression (non-genetic) and genome-wide association test (genetic). Third, clinical risk score and genomic risk score will be constructed by weighted sum of significant risk factors retained, and then combined by logistic regression and random forest. Fourth, a set of candidate risk models will be validated and then optimized in prospective sample, via C statistics and other diagnostic metrics. The whole framework will also be repeated in stratified samples so as to tune the parameters for specific groups (e.g., age, sex, and race).","Anticipated Findings
Findings from this project would identify novel genetic biomarkers and establish a predictive model to classify individuals at different risk for developing serious mental illness. We expect to find: (1) significant clinical/social factors and biomarkers that are associated with focused diseases; (2) polygenic risk scores tailored for overall population and different subgroups; (3) risk model comprised of non-genetic risk factors and polygenic risk scores. We also anticipate some risk factors may present different effect sizes across populations. There is a need to revise risk model in general population to increase its performance in specific group. However, those difference observed across populations may be caused by social determinants, instead of biology; and some of them may be not well covered in All of Us. We will mitigate the potential stigmatization risk of our models in future publications and presentations by providing more discussion on its benefit and limitation.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Controlled Tier","Research Team
Owner:
Hongsheng Gui
- Early Career Tenure-track Researcher, Henry Ford Health System
Collaborators:
Ze Meng - Early Career Tenure-track Researcher, Henry Ford Health System","Genomic association and risk prediction of mental health conditions Phase3 Genome-wide association studies of mental health conditions have identified variants that contribute to a small portion of the total disorder variance. While these data have been useful in identifying novel genetic associations, in large part these data have not been…","1. [""Owner"", ""Collaborator""]
2. [""Hongsheng Gui"", ""Ze Meng""]
3. [""Henry Ford Health System"", ""Henry Ford Health System""]"
Mental Health After COVID,In this study I intend to answer: 1. How COVID-19 affected the mental health of adults starting from 2020-present? 2. How many of these individuals turned to substance abuse to deal with their declining mental health? The reason for exploring…,"Scientific Questions Being Studied
In this study I intend to answer:
1. How COVID-19 affected the mental health of adults starting from 2020-present?
2. How many of these individuals turned to substance abuse to deal with their declining mental health?
The reason for exploring this data is because many people within my community are still suffering from the affects of COVID today and many of them self-cope in an unhealthy way.","Project Purpose(s)
Educational","Scientific Approaches
I plan to look at and compare electronic health records, health and lifestyle surveys, patients overall health and lifestyle for this study. I will also be looking at COVD-19 participant experience, and social determinants of health further progress in this study.","Anticipated Findings
I expect to find that the mental health of many adults and adolescents did in fact decline through the COVID-19 years. When this occurred, many drove to substance abuse to further cope with the issues they were facing whether it may be financial, socially, or just within themselves. I believe that this information can give the science community a better look into how pandemics can leave an impact even after vaccines and cures were brought out.","Demographic Categories of Interest
Race / Ethnicity
Age
Sex at Birth
Gender Identity
Sexual Orientation
Disability Status
Access to Care
Education Level
Income Level","Data Set Used
Controlled Tier","Research Team
Owner:
Chrislynn Harris
- Undergraduate Student, Sam Houston State University",Mental Health After COVID In this study I intend to answer: 1. How COVID-19 affected the mental health of adults starting from 2020-present? 2. How many of these individuals turned to substance abuse to deal with their declining mental health? The reason for exploring…,"1. [""Owner"", ""Undergraduate Student""]
2. [""Chrislynn Harris""]
3. [""Sam Houston State University""]"
The Impact of an Active Lifestyle,"Prior studies have shown that people who report engaging in moderate or high levels of physical activity score better on mental health measures compared to people who report low physical activity levels. To our knowledge, there is a scarcity of…","Scientific Questions Being Studied
Prior studies have shown that people who report engaging in moderate or high levels of physical activity score better on mental health measures compared to people who report low physical activity levels. To our knowledge, there is a scarcity of studies that utilize objective measures of physical activity levels to evaluate this relationship between physical activity levels and mental health. This study seeks to evaluate whether people with objectively higher physical activity levels have fewer mental health diagnoses.","Project Purpose(s)
Population Health","Scientific Approaches
We will use Fitbit data as an objective measure of physical activity levels and categorize physical activity levels as low, moderate, or high. We will then evaluate for mental health diagnoses such as anxiety or depression, evaluating for differences or trends between people with low, moderate, or high physical activity levels.","Anticipated Findings
We anticipate seeing an inverse relationship between physical activity levels and mental health diagnoses. This study would provide an objective measure of physical activity levels in its evaluation of the relationship between physical activity levels and mental health, rather than relying on self-reported data.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Registered Tier","Research Team
Owner:
Tammy Ng
- Other, University of California, Davis","The Impact of an Active Lifestyle Prior studies have shown that people who report engaging in moderate or high levels of physical activity score better on mental health measures compared to people who report low physical activity levels. To our knowledge, there is a scarcity of…","1. [""Owner""]
2. [""Tammy Ng""]
3. [""University of California, Davis""]"
Exploration of the Health & Mental Health of Autistic Sexual Minority Adults,"RESEARCH QUESTIONS: 1. What proportion of adults in the dataset identify as a sexual minority and autistic, and what is the prevalence of co-occurring mental health conditions among autistic sexual minority adults? 2. What associations exist between social determinants of…","Scientific Questions Being Studied
RESEARCH QUESTIONS:
1. What proportion of adults in the dataset identify as a sexual minority and autistic, and what is the prevalence of co-occurring mental health conditions among autistic sexual minority adults?
2. What associations exist between social determinants of health and the health and health care access of autistic sexual minority adults?
3. What associations exist between social determinants of health and the mental health and emotional wellbeing of autistic sexual minority adults?
RELEVANCE TO PUBLIC HEALTH: Growing research suggests that a higher proportion of autistic people are sexual and gender minority (SGM) but little is known about their healthcare needs. Research suggests that autistic adults have worse health/mental health outcomes than their allistic peers and that SGM adults have worse health/mental health outcomes than their cisgender and heterosexual peers, but few studies have explored outcomes for autistic sexual minority adults specifically.","Project Purpose(s)
Population Health
Social / Behavioral","Scientific Approaches
DATASETS:
Basics
o	Race and ethnicity
o	Gender identity
o	Sex assigned at birth
o	Sexual orientation
Personal and Family Health History
o	Mental Health or Substance Use Conditions
o	Health conditions
o	Delays in Medical Care
Social Determinants of Health
o	Supportive Relationships
o	Relationships With Others
o	Discrimination
o	Medical Discrimination
Emotional Health and Well-Being Survey
Behavioral Health and Personality Survey
RESEARCH METHODS:
For the first question, we will generate univariate and bivariate frequencies to characterize the demographics of autistic sexual minority adults in the All of Us data, co-occurring health and mental health conditions, and health care utilization for these conditions.
We will employ logistic regression for the second and third questions to explore the association of factors of health and mental health conditions and health care utilization for autistic sexual minority .
TOOLS:
Statistical analysis will be performed using R.","Anticipated Findings
For research question 1, we anticipate an elevated co-occurrence of sexual minority  identity and an autism diagnosis and that autistic sexual minority adults will also have elevated co-occurrences of other mental health diagnoses. For research questions 2 and 3, we anticipate that demographic factors and social determinants of health will be associated with health/mental health outcomes and healthcare utilization outcomes for autistic sexual minority adults.","Demographic Categories of Interest
Race / Ethnicity
Sex at Birth
Gender Identity
Sexual Orientation
Disability Status","Data Set Used
Registered Tier","Research Team
Owner:
Samuelle Voltaire
- Project Personnel, Drexel University","Exploration of the Health & Mental Health of Autistic Sexual Minority Adults RESEARCH QUESTIONS: 1. What proportion of adults in the dataset identify as a sexual minority and autistic, and what is the prevalence of co-occurring mental health conditions among autistic sexual minority adults? 2. What associations exist between social determinants of…","1. [""Owner"", ""Project Personnel""]
2. [""Samuelle Voltaire""]
3. [""Drexel University""]"
Hearing Loss and Determinants of Health,"Is hearing loss associated with changes in cognitive states, mental health, or socialization metrics in the All of Us Database? If these associations exist, do they change when looking at older adults or hearing loss of different etiologies? Does the…","Scientific Questions Being Studied
Is hearing loss associated with changes in cognitive states, mental health, or socialization metrics in the All of Us Database? If these associations exist, do they change when looking at older adults or hearing loss of different etiologies? Does the combination of hearing loss and other otolaryngological conditions (such as dysphagia) affect these associations?","Project Purpose(s)
Population Health
Social / Behavioral","Scientific Approaches
I will be using univariable and multivariable regression models (linear or logistic when appropriate) to study these associations in the most up-to-date All of Us database.","Anticipated Findings
Based on previous findings in other national cohorts, I expect hearing loss to be associated with cognitive decline (as measured in cognitive tests or diagnoses) and mental health conditions such as depression or anxiety. I also anticipate hearing loss to be associated with social isolation or decreased socialization.","Demographic Categories of Interest
Age","Data Set Used
Registered Tier","Research Team
Owner:
Lauren Tucker
- Graduate Trainee, Columbia University","Hearing Loss and Determinants of Health Is hearing loss associated with changes in cognitive states, mental health, or socialization metrics in the All of Us Database? If these associations exist, do they change when looking at older adults or hearing loss of different etiologies? Does the…","1. [""Owner"", ""Graduate Trainee""]
2. [""Lauren Tucker""]
3. [""Columbia University""]"
wellbeing and lifestyle,the relationship between wellbeing and lifestyle and what factors can influence respondents' perception of mental health,"Scientific Questions Being Studied
the relationship between wellbeing and lifestyle and what factors can influence respondents' perception of mental health","Project Purpose(s)
Social / Behavioral","Scientific Approaches
datasets: lifestyle and mental health
method: combination of shifted binomial and uniform model","Anticipated Findings
some lifestyle, climate and income might influence individual's perception of subjective well-being","Demographic Categories of Interest
Race / Ethnicity
Age
Sex at Birth
Geography
Disability Status
Education Level
Income Level","Data Set Used
Registered Tier","Research Team
Owner:
Haolin Shao
- Graduate Trainee, University of Maryland, College Park",wellbeing and lifestyle the relationship between wellbeing and lifestyle and what factors can influence respondents' perception of mental health,"1. [""Owner"", ""Graduate Trainee""]
2. [""Haolin Shao""]
3. [""University of Maryland, College Park""]"
Disparities in injury burden and associated outcomes,"Injuries are not created equal; groups experience injuries at different rates. Aging US population yields increases in falls, but assaultive injuries shouldered by Black or African American patients, work related injuries shouldered by Hispanic/Latinx patients. Historic and ongoing systemic racism…","Scientific Questions Being Studied
Injuries are not created equal; groups experience injuries at different rates. Aging US population yields increases in falls, but assaultive injuries shouldered by Black or African American patients, work related injuries shouldered by Hispanic/Latinx patients. Historic and ongoing systemic racism has led to modern segregation and inequities across the country that may drive injury disparities. Most injuries are preventable and present a significant burden to healthcare systems and the economy. At the individual level injuries confer risk for poor mental and physical health, lower quality of life, increased financial and economic burden. Risk for poor mental health after injury may be impacted by various factors such as mechanism of injury and prior or current exposures to stress. Disproportionate exposure to injury can therefore differentially impact health and quality of life.","Project Purpose(s)
Population Health","Scientific Approaches
I plan to generate a cohort of participants with a history of injury or traumatic injury. I'm interested in understanding the differential distribution of past injuries by demographic characteristics as well as to compare quality of life measures (both biological and self-reported physical and mental health) between those who've experienced injury and those who have not. I plan to use descriptive statistics and regression approaches to examine relationships among injury patterns and quality of life at the individual and neighborhood level.","Anticipated Findings
This study will extend current literature describing the deleterious effects of injury on physical and mental health as well as the effects of the environment on exposure to injury and subsequent impacts on health and quality of life. By utilization of a unique and highly powered national dataset, findings will provide a comprehensive description of how injury is impacting different communities at the national level and provide potential targets for intervention at the individual level to improve health and quality of life for injury survivors.","Demographic Categories of Interest
Race / Ethnicity","Data Set Used
Controlled Tier","Research Team
Owner:
Carissa Tomas
- Early Career Tenure-track Researcher, Medical College of Wisconsin","Disparities in injury burden and associated outcomes Injuries are not created equal; groups experience injuries at different rates. Aging US population yields increases in falls, but assaultive injuries shouldered by Black or African American patients, work related injuries shouldered by Hispanic/Latinx patients. Historic and ongoing systemic racism…","1. [""Owner"", ""Early Career Tenure-track Researcher""]
2. [""Carissa Tomas""]
3. [""Medical College of Wisconsin""]"
Hip and waist circumference as predictors of chronic pain disorders,Research question: What is the relationship between chronic pain and hip and waist circumference? Can hip and waist circumference be used as predictors of chronic pain onset and burden? Are hip and waist circumferences accurate and reliable indicators of chronic…,"Scientific Questions Being Studied
Research question: What is the relationship between chronic pain and hip and waist circumference? Can hip and waist circumference be used as predictors of chronic pain onset and burden? Are hip and waist circumferences accurate and reliable indicators of chronic pain?
Chronic pain is among the most common morbidities globally, afflicting 1.71 billion people globally with an estimated prevalence of 50.2 million adults in the US alone. Living with a chronic pain condition has been associated with a detrimental impact on a patient’s mental health, sleep habits, and physical state. Thus, understanding potential risk factors can help reduce the prevalence of chronic pain and help create preventative measures.","Project Purpose(s)
Other Purpose (Our chronic pain research aims to identify and investigate measures that can prevent or minimize the occurrence of chronic pain conditions, diseases, or adverse events. We aim to understand the risk factors of hip and waist circumference, and any underlying mechanisms, and help aid the creation of effective strategies to prevent the onset or progression of chronic pain. Additionally, we aim to educate others on the correlation between chronic pain and hip and waist circumference. )","Scientific Approaches
Our approach to the study will require examining the various demographic factors related to pain and hip/waist circumference. We intend to include subjects 18 years or older in this study, however, we have no exclusion criteria for other demographics for this study. Other variables documented will include numerical rating scale numerical rating scale (NRS) scores, specific diagnoses made in relation to pain, medications taken, and pain severity. By noting these factors, we hope to use correlation analysis to determine the relationship between chronic pain and hip/waist circumference.","Anticipated Findings
Our study is aiming to explore the correlation between hip/waist circumference to chronic pain. We anticipate that our data collection will show these measurements to serve as a more precise and accurate link to chronic pain compared to the current standard, which is BMI. By improving the markers of chronic pain, we believe that we can further manage individuals by creating a more transparent depiction of individuals with pain. By minimizing false positives and negatives in screening for pain, we hope to effectively portray the chronic pain population. Creating a stronger correlation to chronic pain will create a more concrete understanding of individuals with pain, reducing any incorrect classifications made with BMI. By understanding the population to a greater degree, it will become more feasible to analyze and assess for the best ways to manage pain.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Registered Tier","Research Team
Owner:
Lisa Goudman
- Research Fellow, Florida Atlantic University
Deborah  Morris
- Project Personnel, University of Arizona
Dumitru Branisteanu
- Research Fellow, Florida Atlantic University
Collaborators:
Tara Pattilachan - Graduate Trainee, University of Central Florida",Hip and waist circumference as predictors of chronic pain disorders Research question: What is the relationship between chronic pain and hip and waist circumference? Can hip and waist circumference be used as predictors of chronic pain onset and burden? Are hip and waist circumferences accurate and reliable indicators of chronic…,"1. [""Owner"", ""Project Personnel"", ""Research Fellow"", ""Research Fellow"", ""Graduate Trainee""]
2. [""Lisa Goudman"", ""Deborah Morris"", ""Dumitru Branisteanu"", ""Tara Pattilachan""]
3. [""Florida Atlantic University"", ""University of Arizona"", ""Florida Atlantic University"", ""University of Central Florida""]"
GBMSM and alcohol use_Zhang,"Using AllofUs data, we aim to advance the knowledge of unhealthy drinking among immigrant ethnic minority GBMSM. The purpose of this study is to bridge the knowledge of unhealthy alcohol use and its risk factors among immigrant ethnic minority GBMSM,…","Scientific Questions Being Studied
Using AllofUs data, we aim to advance the knowledge of unhealthy drinking among immigrant ethnic minority GBMSM.
The purpose of this study is to bridge the knowledge of unhealthy alcohol use and its risk factors among immigrant ethnic minority GBMSM, with following aims:
1) to assess the prevalence of unhealthy alcohol use and co-occurring health problems among immigrant ethnic minority GBMSM.
2) to examine the relationship between unhealthy alcohol use and co-occurring health problems (other substance use, HIV, and other mental health issues.
3) to explore relevant demographic, psychosocial and behavioral correlates.
4) to assess factors associated with unhealthy alcohol use (risky sexual behaviors, discrimination experience regarding race and sexual orientation, abuse and trauma experience, socio-economic status, mental health issues).","Project Purpose(s)
Educational","Scientific Approaches
We will explore descriptive analyses for alcohol use prevalence among GBMSM and explore factors associated with unhealthy alcohol use among this group. In addition, multivariate regression models will be applied to examine factors related to alcohol use and mental health problems. Furthermore, moderation and mediation analyses will be applied.","Anticipated Findings
This analysis will provide a robust foundational understanding of the alcohol use patterns and associated challenges among ethnic minority immigrant GBMSM. It will become imperative for research, public health policies, and interventions to address these findings, ensuring a comprehensive and targeted approach to support and improve the health outcomes of this vulnerable group.","Demographic Categories of Interest
Race / Ethnicity
Gender Identity
Sexual Orientation
Geography
Others","Data Set Used
Controlled Tier","Research Team
Owner:
Wonkyung Chang
- Graduate Trainee, University of Rochester
Chen Zhang
- Early Career Tenure-track Researcher, University of Rochester","GBMSM and alcohol use_Zhang Using AllofUs data, we aim to advance the knowledge of unhealthy drinking among immigrant ethnic minority GBMSM. The purpose of this study is to bridge the knowledge of unhealthy alcohol use and its risk factors among immigrant ethnic minority GBMSM,…","1. [""Owner"", ""Graduate Trainee"", ""Early Career Tenure-track Researcher""]
2. [""Wonkyung Chang"", ""Chen Zhang""]
3. [""University of Rochester"", ""University of Rochester""]"
