title,main_goal_and_aims,Questions,Purpose,Approaches,Findings,Categories,DataTier,Team,combined_text,Extracted Team Info,Roles,Researchers,Institutions,Individuals Per Team,Unique Individuals Per Entry,Unique Institutions Per Entry,Is Multi-Institutional
Cardiometabolic trajectories with menopause and aging,"Many women experience a worsening of cardiometabolic risk factors (such as blood cholesterol levels, blood pressure, and body fat quantity/localization) around midlife. The menopausal transition, and its associated hormonal changes, may contribute to some of this increased cardiovascular and metabolic…","Scientific Questions Being Studied
Many women experience a worsening of cardiometabolic risk factors (such as blood cholesterol levels, blood pressure, and body fat quantity/localization) around midlife. The menopausal transition, and its associated hormonal changes, may contribute to some of this increased cardiovascular and metabolic disease risk. Each individual woman can react differently to menopause, and studies by SWAN (Study of Women's Health Across the Nation) and others have shown that different women experience different trajectories of hormonal and cardiometabolic changes around the time of the final menstrual period.
I would like to identify genetic and other factors that are associated with cardiometabolic risk factor trajectories in midlife women. This could help to better understand how menopause impacts cardiometabolic health and could help to predict how individual women may respond to menopause and perhaps help to tailor lifestyle interventions, treatments, etc. to each woman (precision medicine).","Project Purpose(s)
Disease Focused Research (Cardiometabolic Disease and Menopause)
Ancestry","Scientific Approaches
The first step will be to extract the timing of the final menstrual period (FMP) from the dataset, if available, for each woman participant. If that is successful, I will then proceed to extract longitudinal values of relevant cardiometabolic traits (LDL-cholesterol, blood pressure, weight, BMI, etc.) for each woman, and calculate the timing of each value relative to the FMP. Then, women will be categorized based on the trajectory of each cardiometabolic trait around the time of menopause. Finally, we will search for genetic and covariate associations with each trajectory category.","Anticipated Findings
If successful, this study could take a step towards understanding how and why different women react differently to menopause, in terms of their cardiometabolic health. This could help to identify women who may be likely to experience particular cardiometabolic risk factor trajectories before they even enter the menopausal transition, potentially allowing for early intervention and more effective prevention of disease. It could also help to better understand why menopause affects cardiometabolic risk factors through identification of particular genes that could contribute to the mechanism.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Controlled Tier","Research Team
Owner:
Elizabeth Theusch
- Other, University of California, San Francisco","Cardiometabolic trajectories with menopause and aging Many women experience a worsening of cardiometabolic risk factors (such as blood cholesterol levels, blood pressure, and body fat quantity/localization) around midlife. The menopausal transition, and its associated hormonal changes, may contribute to some of this increased cardiovascular and metabolic…","1. ['Owner']
2. ['Elizabeth Theusch']
3. ['University of California, San Francisco']",['Owner'],['Elizabeth Theusch'],"['University of California, San Francisco']",1,1,1,FALSE
Chronic Disease Multimorbidity,"We intend to study chronic disease multimorbidity (the presence of multiple conditions) among a diverse population of participants in the All of Us Research Program. Chronic disease is a rising contributor to mortality and morbidity, and many chronic disease risk…","Scientific Questions Being Studied
We intend to study chronic disease multimorbidity (the presence of multiple conditions) among a diverse population of participants in the All of Us Research Program. Chronic disease is a rising contributor to mortality and morbidity, and many chronic disease risk factors are modifiable. Learning how we can more effectively prevent and control chronic disease among diverse patient populations will be essential for population health improvement. We specifically plan to study the intersection between different chronic diseases, such as diabetes, cardiovascular disease, dementia, chronic lung disease, kidney disease, and other conditions that interact with one another and cause progressive disability.","Project Purpose(s)
Population Health","Scientific Approaches
We will use a combination of descriptive tools (e.g. estimating prevalence, incidence of various conditions) and modeling tools to model the accumulation of disease risk factors and mortality. Our work will be performed primarily using All of Us data with additional work performed in other population-based data sources including EHR data, UK Biobank, and other large studies.","Anticipated Findings
We anticipate that our study will document the prevalence and risk of developing various types of multimorbidity and chronic disease burden over time and will identify novel risk factors for multimorbidity which could be targeted both to improve population health and to improve health equity.","Demographic Categories of Interest
Race / Ethnicity
Age
Sex at Birth
Gender Identity
Sexual Orientation
Geography
Disability Status
Access to Care
Education Level
Income Level","Data Set Used
Controlled Tier","Research Team
Owner:
Xinyi Tan
- Graduate Trainee, Columbia University
Jay Lusk
- Research Fellow, Duke University","Chronic Disease Multimorbidity We intend to study chronic disease multimorbidity (the presence of multiple conditions) among a diverse population of participants in the All of Us Research Program. Chronic disease is a rising contributor to mortality and morbidity, and many chronic disease risk…","1. ['Owner', 'Graduate Trainee', 'Research Fellow']
2. ['Xinyi Tan', 'Jay Lusk']
3. ['Columbia University', 'Duke University']","['Owner', 'Graduate Trainee', 'Research Fellow']","['Xinyi Tan', 'Jay Lusk']","['Columbia University', 'Duke University']",2,2,2,TRUE
"Disparities associated with Stress, SDoH & CVD","Research Question: Is there a significant association between race/ethnicity, allostatic load, perceived stress, social determinants of health, and cardiovascular disease outcomes among breast cancer survivors? Racial disparities persist in both cardiovascular disease (CVD) and breast cancer, highlighting the urgent need…","Scientific Questions Being Studied
Research Question: Is there a significant association between race/ethnicity, allostatic load, perceived stress, social determinants of health, and cardiovascular disease outcomes among breast cancer survivors?
Racial disparities persist in both cardiovascular disease (CVD) and breast cancer, highlighting the urgent need for comprehensive research and intervention strategies. Examining stress and allostatic load is crucial in understanding and addressing these disparities. Chronic stress and allostatic load, which encompasses the cumulative physiological toll of stress on the body, have been linked to both CVD and breast cancer outcomes. Moreover, racial and ethnic minorities often face disproportionate levels of stress due to social determinants of health, including systemic racism, socioeconomic disadvantage, and limited access to quality healthcare. These stressors can contribute to the development and progression of both diseases and exacerbate existing health disparities.","Project Purpose(s)
Disease Focused Research (breast cancer, cardiovascular disease)
Population Health
Social / Behavioral","Scientific Approaches
Logistic Regression
Dependent Variable: Presence or absence of cardiovascular disease outcomes (coded as 1 for presence, 0 for absence)
Independent Variables: Race/ethnicity (categorical), allostatic load (continuous), perceived stress (continuous), social determinants of health (continuous or categorical), overall health (continuous or categorical)
EHR:
Cardiovascular Disease (CVD) Outcomes
Allostatic Load measures (c-reactive protein [CRP], systolic blood pressure [SBP], diastolic blood pressure [DBP], sex-specific waist circumference, the ratio of high-density lipoprotein [HDL] cholesterol to low-density lipoprotein [LDL] cholesterol, hemoglobin A1C [HbA1C])
Surveys: Demographics, Perceived Stress, SDoH, Overall Health","Anticipated Findings
It is hypothesized that there will be a significant relationship between race/ethnicity, allostatic load, perceived stress, social determinants of health, and cardiovascular disease outcomes among breast cancer survivors. Specifically, it is expected that racial and ethnic minorities, particularly Black and Hispanic individuals, will exhibit higher levels of allostatic load and perceived stress and experience poorer cardiovascular disease outcomes compared to White individuals.
The findings of this logistic regression analysis underscore the complex interplay between race/ethnicity, stress, allostatic load, social determinants of health, and cardiovascular disease outcomes among breast cancer survivors.","Demographic Categories of Interest
Race / Ethnicity","Data Set Used
Controlled Tier","Research Team
Owner:
Lakeshia Cousin
- Early Career Tenure-track Researcher, University of Florida
Collaborators:
Ruina He - Project Personnel, University of Florida","Disparities associated with Stress, SDoH & CVD Research Question: Is there a significant association between race/ethnicity, allostatic load, perceived stress, social determinants of health, and cardiovascular disease outcomes among breast cancer survivors? Racial disparities persist in both cardiovascular disease (CVD) and breast cancer, highlighting the urgent need…","1. ['Owner', 'Project Personnel']
2. ['Lakeshia Cousin', 'Ruina He']
3. ['University of Florida']","['Owner', 'Project Personnel']","['Lakeshia Cousin', 'Ruina He']",['University of Florida'],2,2,1,FALSE
"Safety and Effectiveness, CKD, SDOH of in chronic disease","The study aims to investigate the safety and effectiveness of anti-diabetes medications in the United States. Due to the ever-changing trend in the management of diabetes, the contemporary safety and effectiveness of different approaches to diabetes become big concerns. The…","Scientific Questions Being Studied
The study aims to investigate the safety and effectiveness of anti-diabetes medications in the United States. Due to the ever-changing trend in the management of diabetes, the contemporary safety and effectiveness of different approaches to diabetes become big concerns. The approval of different classes of medications including Glucagon-like peptide-1 (GLP-1) agonists, peptidase inhibitors (DPP4 inhibitors), and sodium-glucose cotransporter inhibitors (SGLT2i) pose uncertainty in outcomes and safety of these medications. This study will explore the glycemic control, cardiovascular and renal outcomes of these medications, and their adverse health outcomes relative to the main stay therapy such as metformin and insulin. The main safety concerns include diabetic ketoacidosis, infections, cancer, and metabolic abnormalities.","Project Purpose(s)
Population Health
Social / Behavioral","Scientific Approaches
To determine the safety and effectiveness, a cohort of patients who are taking anti-diabetes medications will be selected. The patients will be followed starting from the date of medication initiation till the current time. The incidence of different adverse effects and the status of patients will be recorded along with the types of medications. The specific events include glucose level, cardiovascular events, mortality, adverse renal outcomes, and adverse drug reactions such as diabetes ketoacidosis, infections, and cancer. Comparison will be made between groups who are taking different medications to determine the relative safety and effectiveness of the medications. We will implement different statistical and computational algorithms to determine the safety and effectiveness of anti-diabetes medications.","Anticipated Findings
The assessment of the safety and effectiveness of anti-diabetes medications would help to select the appropriate therapy for diabetes patients. In addition, it will help to maximize the quality of life of patients and decrease the cost of treatment. The adverse effects of the medications would be early detected and prevented. Further to this, the macro-and microvascular complications of diabetes would be reduced.","Demographic Categories of Interest
Race / Ethnicity","Data Set Used
Controlled Tier","Research Team
Owner:
Tadesse Abegaz
- Graduate Trainee, Florida A&M University","Safety and Effectiveness, CKD, SDOH of in chronic disease The study aims to investigate the safety and effectiveness of anti-diabetes medications in the United States. Due to the ever-changing trend in the management of diabetes, the contemporary safety and effectiveness of different approaches to diabetes become big concerns. The…","1. Roles: ['Owner', 'Graduate Trainee']
2. Names: ['Tadesse Abegaz']
3. Institutions: ['Florida A&M University']","['Owner', 'Graduate Trainee']",['Tadesse Abegaz'],['Florida A&M University'],1,1,1,FALSE
Duplicate of Demo - Cardiovascular Risk Scoring,"1- Can we use All of Us data to calculate the cardiovascular pooled score? We want to use and utilize the unique data collected by the All of Us program including smoking information, underrepresented race data, and measurement values such…","Scientific Questions Being Studied
1- Can we use All of Us data to calculate the cardiovascular pooled score? We want to use and utilize the unique data collected by the All of Us program including smoking information, underrepresented race data, and  measurement values such as blood pressure and cholesterol to calculate the score.
2- Can we identify the scores that we calculate within a year of enrollment? We wanted to know the participants who might have cardiovascular risk score within the time enrollment. This will help the program quantify the importance of collecting longitudinal data for participants.
3- Will the risk score per race group be different? We compared the risk scores in each racial groups to quantify if some racial groups have higher or lower risk scores.
Citation is: Citation is Ramirez AH, Sulieman L, Schlueter DJ, Halvorson A, Qian J, et al. (2022). The All of Us Research Program: Data quality, utility, and diversity. Patterns. 12;3(8). https://doi.org/10.1016/j.patter.2022.100570.","Project Purpose(s)
Disease Focused Research (Cardiovascular disease )
Other Purpose (This work is a result of an All of Us Research Program Demonstration Project. The projects are efforts by the Program designed to meet the program's goal of ensuring the quality and utility of the Research Hub as a resource for accelerating discovery in science and medicine. This work was reviewed and overseen by the All of Us Research Program Science Committee and the All of Us Data and Research Center to ensure compliance with program policy, including acceptable data access and use. )","Scientific Approaches
In this project, we plan on using the AHA algorithm/equation to calculate the cardiovascular risk scores ( https://ahajournals.org/doi/full/10.1161/01.cir.0000437741.48606.98). Further, we want to demonstrate the usage of smoking and race data collected by the program, which are data that usually researchers use natural language processing to extract, to facilitate the calculation of cardiovascular risk score.
We will calculate the scores using 1- Data manipulation: Using python and BigQuery to: A- Retrieve medications (diabetes), lab measurements including systolic blood pressure, diastolic blood pressure, cholesterol, race, and smoking information provided by participants  2- Visualization: A- Creating histogram for calculated scores using python visualization library Matplotlib","Anticipated Findings
For this study, we anticipate demonstrating the validity and importance of the data collected by the program and can be challenging to extract from medical records (smoking status) by showing by calculating the cardiovascular risk within 10 years. We expect to find: 1) the easiness in using data from different sources (EHR and survey data) to build a model or calculate a risk. 2) the heterogeneity in All of Us population where underrepresented population in clinical trials or clinical data set are more present in the All of Us  3) the cardiovascular risk score is different in racial groups.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Registered Tier","Research Team
Owner:
Alana Cecchi
- Early Career Tenure-track Researcher, University of Texas Health Science Center, Houston","Duplicate of Demo - Cardiovascular Risk Scoring 1- Can we use All of Us data to calculate the cardiovascular pooled score? We want to use and utilize the unique data collected by the All of Us program including smoking information, underrepresented race data, and measurement values such…","1. ['Owner', 'Early Career Tenure-track Researcher']
2. ['Alana Cecchi']
3. ['University of Texas Health Science Center, Houston']","['Owner', 'Early Career Tenure-track Researcher']",['Alana Cecchi'],"['University of Texas Health Science Center, Houston']",1,1,1,FALSE
Common metabolic disease genetic association analysis (v7),"Common metabolic diseases (type 2 diabetes, cardiovascular disease, etc.) are influenced by both genetic and non-genetic risk factors, such as lifestyle habits (e.g. smoking, alcohol consumption, dietary patterns, physical activity, and sleep duration). Understanding both genetic and non-genetic factors and…","Scientific Questions Being Studied
Common metabolic diseases (type 2 diabetes, cardiovascular disease, etc.) are influenced by both genetic and non-genetic risk factors, such as lifestyle habits (e.g. smoking, alcohol consumption, dietary patterns, physical activity, and sleep duration). Understanding both genetic and non-genetic factors and their interactions may provide insights into potential pharmacologic targets and further lay the scientific foundation for precision interventions. Genome-wide association studies (GWAS) can characterize the genetic effects on complex diseases. The All of Us Research Program  offers an excellent path forward to use GWAS to elucidate human disease drivers. In response to FNIH RFP2 “GENERATION of New genetic, -omic, or biomarker data for Common Metabolic Diseases,” we propose to generate and discover novel genetic associations in the All of Us Research Program.","Project Purpose(s)
Disease Focused Research (Lifespan diabetes, diabetes complications and other metabolic diseases)","Scientific Approaches
We will perform disease, disease-related trait, and covariate harmonization in the All of Us Cohort for diseases (type 2 diabetes, cardiovascular disease outcomes and hypertension), disease-related traits (glycemic traits, CVD risk factors, blood pressure), and important covariates (adiposity traits, smoking, alcohol consumption, dietary patterns, physical activity, and sleep duration). We will report counts and power calculations that describe the genetic associations that could be discovered in the All of Us Cohort. We will explore the availability of additional common metabolic diseases and complications and perform power calculations for these traits. We will perform genetic association analyses with each disease and outcome (type 2 diabetes, type 1 diabetes, obesity, atherosclerosis, chronic kidney disease, heart failure, and NAFLD).","Anticipated Findings
We aim to discover novel genetic associations with metabolic disease traits and contribute summary statistics to the Common Metabolic Disease Knowledge Portal.","Demographic Categories of Interest
Race / Ethnicity
Age","Data Set Used
Controlled Tier","Research Team
Owner:
Kaavya Ashok
- Early Career Tenure-track Researcher, Broad Institute
Alisa Manning
- Early Career Tenure-track Researcher, Mass General Brigham
Collaborators:
Ravi Mandla - Project Personnel, Broad Institute
Raymond Kreienkamp - Research Fellow, Broad Institute
Lukasz Szczerbinski - Research Fellow, Broad Institute
Sara Cromer - Research Fellow, Mass General Brigham
Reagan Ballard - Undergraduate Student, University of North Carolina, Chapel Hill
Laura Raffield - Other, University of North Carolina, Chapel Hill
Miriam Udler - Early Career Tenure-track Researcher, Broad Institute
Micah Hysong - Graduate Trainee, University of North Carolina, Chapel Hill
Josephine Li - Early Career Tenure-track Researcher, Mass General Brigham
Josep Mercader - Early Career Tenure-track Researcher, Broad Institute
Gareth Hawkes - Research Fellow, University of Exeter
Alicia Huerta - Research Fellow, Broad Institute
Aaron Deutsch - Research Fellow, Mass General Brigham
Alexandra Barry - Graduate Trainee, Mass General Brigham","Common metabolic disease genetic association analysis (v7) Common metabolic diseases (type 2 diabetes, cardiovascular disease, etc.) are influenced by both genetic and non-genetic risk factors, such as lifestyle habits (e.g. smoking, alcohol consumption, dietary patterns, physical activity, and sleep duration). Understanding both genetic and non-genetic factors and…","1. ['Owner', 'Owner', 'Collaborator', 'Collaborator', 'Collaborator', 'Collaborator', 'Collaborator', 'Collaborator', 'Collaborator', 'Collaborator', 'Collaborator', 'Collaborator', 'Collaborator', 'Collaborator', 'Collaborator', 'Collaborator', 'Collaborator']
2. ['Kaavya Ashok', 'Alisa Manning', 'Ravi Mandla', 'Raymond Kreienkamp', 'Lukasz Szczerbinski', 'Sara Cromer', 'Reagan Ballard', 'Laura Raffield', 'Miriam Udler', 'Micah Hysong', 'Josephine Li', 'Josep Mercader', 'Gareth Hawkes', 'Alicia Huerta', 'Aaron Deutsch', 'Alexandra Barry']
3. ['Broad Institute', 'Mass General Brigham', 'Broad Institute', 'Broad Institute', 'Broad Institute', 'Mass General Brigham', 'University of North Carolina, Chapel Hill', 'University of North Carolina, Chapel Hill', 'Broad Institute', 'University of North Carolina, Chapel Hill', 'Mass General Brigham', 'Broad Institute', 'University of Exeter', 'Broad Institute', 'Mass General Brigham', 'Mass General Brigham']","['Owner', 'Owner', 'Collaborator', 'Collaborator', 'Collaborator', 'Collaborator', 'Collaborator', 'Collaborator', 'Collaborator', 'Collaborator', 'Collaborator', 'Collaborator', 'Collaborator', 'Collaborator', 'Collaborator', 'Collaborator', 'Collaborator']","['Kaavya Ashok', 'Alisa Manning', 'Ravi Mandla', 'Raymond Kreienkamp', 'Lukasz Szczerbinski', 'Sara Cromer', 'Reagan Ballard', 'Laura Raffield', 'Miriam Udler', 'Micah Hysong', 'Josephine Li', 'Josep Mercader', 'Gareth Hawkes', 'Alicia Huerta', 'Aaron Deutsch', 'Alexandra Barry']","['Broad Institute', 'Mass General Brigham', 'Broad Institute', 'Broad Institute', 'Broad Institute', 'Mass General Brigham', 'University of North Carolina, Chapel Hill', 'University of North Carolina, Chapel Hill', 'Broad Institute', 'University of North Carolina, Chapel Hill', 'Mass General Brigham', 'Broad Institute', 'University of Exeter', 'Broad Institute', 'Mass General Brigham', 'Mass General Brigham']",16,16,4,TRUE
FH and ancestry,"Familial hypercholesterolemia (FH) is an inherited condition consisting of lifelong elevated LDL cholesterol levels and increased risk of cardiovascular disease. Variants in three genes involved in LDL receptor function, LDLR, APOB, and PCSK9, account for most cases. Among Western populations,…","Scientific Questions Being Studied
Familial hypercholesterolemia (FH) is an inherited condition consisting of lifelong elevated LDL cholesterol levels and increased risk of cardiovascular disease. Variants in three genes involved in LDL receptor function, LDLR, APOB, and PCSK9, account for most cases. Among Western populations, the prevalence of FH has been reported to be between 1:212 to 1:331.  African ancestry individuals are underrepresented in submissions to genetic resources used to determine variant pathogenicity and there are no known reports on the prevalence of FH in those populations. Therefore, the study aims to create an African ancestry cohort to assess frequency of FH variants and outcomes such as LDL levels, use of lipid-lowering medications, and ASCVD risk among individuals in this cohort to better understand the burden of FH in this population.","Project Purpose(s)
Disease Focused Research (familial hypercholesterolemia)
Population Health
Ancestry","Scientific Approaches
We plan to run ADMIXTURE on  genetic data from  All of Us  and other large multi-ethnic cohorts to create an African ancestry cohort. We then will assess sequence variants in the three FH genes from this cohort for pathogenicity using American College of Medical Genetics criteria. Finally we will compare outcomes such as lipid levels , use of lipid lowering medications, and ASCVD risk  among those with a pathogenic/likely pathogenic variant, a VUS, and without any such variant.","Anticipated Findings
We anticipate finding several variants in the three known FH genes that are rare and/or poorly characterized in primarily European ancestry cohorts that confer increased risk for high LDL levels and ASCVD risk. We expect that many of the individuals with these variants will have not been adequately screened and treated for FH, and thus represent a population that could see benefits in care and lifespan with increased testing for FH variants and LDL cholesterol levels earlier in life.","Demographic Categories of Interest
Race / Ethnicity","Data Set Used
Controlled Tier","Research Team
Owner:
Alex Winters
- Research Associate, Geisinger Clinic
Collaborators:
Jun Qian - Other, All of Us Program Operational Use
Alexander Berry - Research Associate, Geisinger Clinic","FH and ancestry Familial hypercholesterolemia (FH) is an inherited condition consisting of lifelong elevated LDL cholesterol levels and increased risk of cardiovascular disease. Variants in three genes involved in LDL receptor function, LDLR, APOB, and PCSK9, account for most cases. Among Western populations,…","1. ['Owner', 'Collaborators', 'Research Associate']
2. ['Alex Winters', 'Jun Qian', 'Alexander Berry']
3. ['Geisinger Clinic', 'All of Us Program Operational Use']","['Owner', 'Collaborators', 'Research Associate']","['Alex Winters', 'Jun Qian', 'Alexander Berry']","['Geisinger Clinic', 'All of Us Program Operational Use']",3,3,2,TRUE
BIOINF2071_project,"In recent years, the biomedical research community has become more aware of the potential influence that a set of non-medical factors have on health outcomes (Marmot et al. 2008). Such social determinants of health (SDOH) are comprised of the conditions…","Scientific Questions Being Studied
In recent years, the biomedical research community has become more aware of the potential influence that a set of non-medical factors have on health outcomes (Marmot et al. 2008). Such social determinants of health (SDOH) are comprised of the conditions in which people work and live, including income, education, food security, early childhood development, social inclusion, etc. Recently, an association was observed between SDOH and adverse cardiovascular outcomes in heart failure (HF) patients (Vinter et al. 2022). However, whether the link between SDOH and adverse cardiovascular outcomes is causal and, in which direction, remains to be seen. This study is important because a statistical correlation between two variables can be explained by multiple underlying causal networks and knowledge of the causal network can help focus research and healthcare delivery.","Project Purpose(s)
Disease Focused Research (Cardiovascular disease(s))
Population Health
Social / Behavioral
Methods Development","Scientific Approaches
We will develop a list of confounders, SDOH exposures of interest and outcomes of adverse cardiovascular conditions / events, based on a literature review and evaluation of the data available to us. We will formulate these into a series of directed acyclic graphs (DAGs) per exposure-outcome model.
We will begin transforming and building our analytic dataset. We will make use of the various tools AllOfUs provides via Workbench platform. These tools include: Workspaces, R and Python, Dataset Builders and Cohort Builders.
We will conduct an exploratory data analysis (EDA).
We will then calculate propensity score models and employ inverse probability weighting (IPW) to weight regression models. Doubly robust methods such as targeted maximum likelihood estimation (TMLE) can be explored. Alternative to TMLE, a factor analysis can be performed on various SDOH and demographic survey measures available. These aggregate factors could then be utilized as exposures in our IPW regression models.","Anticipated Findings
Ideally, this study will answer the following question: What is the strength and direction of the causal relationship between multiple SDOH exposures and adverse cardiovascular outcomes? Currently, many SDOH exposures are associated with a variety of poor medical outcomes. We expect our models to show that some SDOH exposures do not causally influence adverse cardiovascular outcomes, and that other factors do have a causal influence and to what magnitude. Knowledge of the underlying causal structure can help focus public policy and healthcare delivery on SDOH factors that really matter to patients suffering from cardiovascular disease(s).","Demographic Categories of Interest
Geography
Access to Care
Education Level
Income Level","Data Set Used
Controlled Tier","Research Team
Owner:
Samuel Blechman
- Graduate Trainee, University of Pittsburgh","BIOINF2071_project In recent years, the biomedical research community has become more aware of the potential influence that a set of non-medical factors have on health outcomes (Marmot et al. 2008). Such social determinants of health (SDOH) are comprised of the conditions…","1. ['Owner', 'Graduate Trainee']
2. ['Samuel Blechman']
3. ['University of Pittsburgh']","['Owner', 'Graduate Trainee']",['Samuel Blechman'],['University of Pittsburgh'],1,1,1,FALSE
Age-related differences in CVD risk factors among women,This project aims to investigate and compare the contribution of cardiovascular disease risk factors on CVD outcomes among premenopausal and postmenopausal women. Studies have shown that premenopausal women who are non-diabetic are protected against CVD in comparison to age-matched males.…,"Scientific Questions Being Studied
This project aims to investigate and compare the contribution of cardiovascular disease risk factors on CVD outcomes among premenopausal and postmenopausal women. Studies have shown that premenopausal women who are non-diabetic are protected against CVD in comparison to age-matched males. But the differences attenuated among post-menopausal women who were not on hormone replacement therapy. Menopause is associated with high blood pressure, high BMI, dyslipidemia and cholesterol accumulation and also associated with decrease in estrogen indicating that menopause and hormone status can account for the observed sex-differences. Here, we will explore the age-related differences in contributions of CVD risk factors among women. This will inform and support clinicians, scientist and public health professionals on clinically meaningful age-related differences and create awareness for prevention of CVD.","Project Purpose(s)
Other Purpose (The purpose of the study is to investigate and compare the contributions of various risk factors for CVD among premenopausal and postmenopausal women.)","Scientific Approaches
We will use the All of Us study, controlled tire data. Participants with or without CVD will be identified based on eligibility criteria – female assigned at birth, aged >18 years and have anthropometric and CVD biomarker data. The participants will be analyzed across all races, ethnicities and geographical regions and education and income level. The data will be checked for normality; descriptive characteristics and associations will be summarized. A univariate regression analysis and risk ratio between each risk factor and CVD outcome will be performed. A p value of <0.05 will be used to indicate statistical significance.","Anticipated Findings
The sexual dimorphism in CVD is well established but exact pathophysiological mechanism is not completely understood. This analysis will help us to systematically understand the age-related differences in the contribution of risk factors on CVD outcomes among women.","Demographic Categories of Interest
Race / Ethnicity
Age
Geography
Education Level","Data Set Used
Controlled Tier","Research Team
Owner:
Srishti Sinha
- Research Fellow, Cornell University
Samantha Huey
- Research Fellow, Cornell University
Sarada Ghosh
- Research Fellow, Cornell University
Naiwen Ji
- Graduate Trainee, Cornell University",Age-related differences in CVD risk factors among women This project aims to investigate and compare the contribution of cardiovascular disease risk factors on CVD outcomes among premenopausal and postmenopausal women. Studies have shown that premenopausal women who are non-diabetic are protected against CVD in comparison to age-matched males.…,"1. ['Owner', 'Research Fellow', 'Research Fellow', 'Research Fellow', 'Graduate Trainee']
2. ['Srishti Sinha', 'Samantha Huey', 'Sarada Ghosh', 'Naiwen Ji']
3. ['Cornell University', 'Cornell University', 'Cornell University', 'Cornell University']","['Owner', 'Research Fellow', 'Research Fellow', 'Research Fellow', 'Graduate Trainee']","['Srishti Sinha', 'Samantha Huey', 'Sarada Ghosh', 'Naiwen Ji']","['Cornell University', 'Cornell University', 'Cornell University', 'Cornell University']",4,4,1,FALSE
WRIDE: Psoriasis and Periodontitis,"Our focus is on epidemiology of inflammatory skin conditions, such as eczema, psoriasis, hidradenitis suppurativa, and ichthyosis. The scientific questions we intend to study are many, including associations between these inflammatory skin conditions and cardiovascular disease, psychiatric comorbidities, allergic diseases…","Scientific Questions Being Studied
Our focus is on epidemiology of inflammatory skin conditions, such as eczema, psoriasis, hidradenitis suppurativa, and ichthyosis. The scientific questions we intend to study are many, including associations between these inflammatory skin conditions and cardiovascular disease, psychiatric comorbidities, allergic diseases and rheumatologic disease. Some inflammatory skin conditions, such as eczema, are common, while others like ichthyosis are rare. Across the spectrum, epidemiology of dermatologic disease is understudied. We hope to shed light on associations between both common and rare inflammatory skin conditions and potential risk factors.","Project Purpose(s)
Disease Focused Research (Inflammatory skin disease)","Scientific Approaches
We plan to use logistic regression in univariate and multivariate analyses. These will primarily be cross-sectional studies or case-control studies. Covariates that we plan to include in our models are disease-related EHR diagnoses as well as demographic factors of age, sex, race and ethnicity, and survey data including smoking history and recreational drug use.","Anticipated Findings
We hope to better describe the burden of inflammatory skin conditions among different racial, ethnic and age groups, and we hope to show novel associations between inflammatory skin conditions and other diseases including cardiovascular disease, autoimmune disease, and metabolic disease. These data will help improve the treatment of inflammatory skin diseases.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Registered Tier","Research Team
Owner:
Scott Jones
- Other, Northwell Health
Collaborators:
Shayaa Muhammad - Project Personnel, City University of New York (CUNY)
Mitchel Wride - Graduate Trainee, Yale University","WRIDE: Psoriasis and Periodontitis Our focus is on epidemiology of inflammatory skin conditions, such as eczema, psoriasis, hidradenitis suppurativa, and ichthyosis. The scientific questions we intend to study are many, including associations between these inflammatory skin conditions and cardiovascular disease, psychiatric comorbidities, allergic diseases…","1. ['Owner', 'Collaborator', 'Collaborator']
2. ['Scott Jones', 'Shayaa Muhammad', 'Mitchel Wride']
3. ['Northwell Health', 'City University of New York (CUNY)', 'Yale University']","['Owner', 'Collaborator', 'Collaborator']","['Scott Jones', 'Shayaa Muhammad', 'Mitchel Wride']","['Northwell Health', 'City University of New York (CUNY)', 'Yale University']",3,3,3,TRUE
